Generations;0;1;2;3;4
0;-0.014676951446052583;-0.014003699666244812;-0.014215319845507465;-0.014115408982068532;-0.014401510674334988
1;-0.014033843566669106;-0.013861669999809008;-0.014092238252511005;-0.013652033408272661;-0.013482299928050003
2;-0.013649603429118454;-0.013861669999809008;-0.01364456218513434;-0.013652033408272661;-0.013482299928050003
3;-0.013419136904019259;-0.013597069808931809;-0.01364456218513434;-0.013266202642786116;-0.013482299928050003
4;-0.013414180315480358;-0.013455869376069171;-0.013433488999966556;-0.013266202642786116;-0.013316419167635806
5;-0.013355280991895615;-0.01340216224289338;-0.013429765364330442;-0.01324745288186779;-0.013316419167635806
6;-0.013236922116069208;-0.013398338203177741;-0.013313273495775773;-0.013225609596854369;-0.013316419167635806
7;-0.013225791345385063;-0.013320159814634802;-0.013237080910467816;-0.013188749467208348;-0.013287931604921858
8;-0.013210644882981027;-0.013307014245429998;-0.013237080910467816;-0.013188749467208348;-0.01324594545471704
9;-0.013195228296823654;-0.013307014245429998;-0.013221710504833716;-0.013188749467208348;-0.013238063140943833
10;-0.01319398980540635;-0.013307014245429998;-0.013202809875490436;-0.013188749467208348;-0.013221729833491645
11;-0.013187768227846687;-0.013305429678901788;-0.013202809875490436;-0.013188749467208348;-0.013216869159041154
12;-0.013183497515643468;-0.013287940744854796;-0.013190893148677179;-0.013188749467208348;-0.013206199192840773
13;-0.013183497515643468;-0.013275584142419592;-0.013190893148677179;-0.013187187103845982;-0.013204631082864368
14;-0.013183497515643468;-0.013236826502804167;-0.013190893148677179;-0.013187187103845982;-0.013193193428982182
15;-0.01318331510729142;-0.013236826502804167;-0.013185544760844624;-0.013187187103845982;-0.013193193428982182
16;-0.01318331510729142;-0.013220744541114444;-0.013184916237513868;-0.013187187103845982;-0.013187215056309516
17;-0.01318331510729142;-0.01320039557183097;-0.013182554069149297;-0.013185992300863408;-0.013187215056309516
18;-0.01318331510729142;-0.013183016330938333;-0.01317758596686778;-0.013180581317187957;-0.013186968101633782
19;-0.01318331510729142;-0.013183016330938333;-0.01317758596686778;-0.013180581317187957;-0.013181238970785467
20;-0.01318319568849583;-0.013182371257015069;-0.013177513625216157;-0.013180581317187957;-0.013175341811119512
21;-0.01318165406490926;-0.013182371257015069;-0.013177239776974596;-0.013179575910053894;-0.013175341811119512
