Generations;0;1;2;3;4
0;-0.009452223934633758;-0.010731533812148251;-0.009362575960397523;-0.010533030264679695;-0.008837142765940139
1;-0.00824782540216515;-0.008250288756433204;-0.006741473000524974;-0.009497161686952854;-0.005978076540096773
2;-0.006990708967049462;-0.008194639536104536;-0.006741473000524974;-0.008044455248795936;-0.005978076540096773
3;-0.006709780579510411;-0.006449840770566567;-0.0063633232816664295;-0.007453385497758701;-0.005978076540096773
4;-0.006369895930371784;-0.006295976096645876;-0.005898405226090624;-0.006500518487367854;-0.005978076540096773
5;-0.006369895930371784;-0.005673290129453633;-0.005757758429126433;-0.0062680416530725685;-0.005978076540096773
6;-0.006369895930371784;-0.005673290129453633;-0.005338083417552242;-0.006147228569359853;-0.005978076540096773
7;-0.004793076250713526;-0.005673290129453633;-0.005241944249812678;-0.006147228569359853;-0.005835931269522229
8;-0.004793076250713526;-0.005662124309816617;-0.0050439866315706685;-0.005590418772922486;-0.005649590458299738
9;-0.004793076250713526;-0.005503987896197225;-0.004926581944617724;-0.0052972150019895215;-0.005649590458299738
10;-0.004527224486078107;-0.005226975114541418;-0.004502347707860102;-0.004936848742773733;-0.005367930906709129
11;-0.004527224486078107;-0.005226975114541418;-0.004447161446398229;-0.004769184767593682;-0.005138463416842031
12;-0.004437733628484941;-0.004852675020410172;-0.004447161446398229;-0.004572638138638383;-0.00504635958766464
13;-0.004437733628484941;-0.004831152793485034;-0.004447161446398229;-0.004572638138638383;-0.004910513489228468
14;-0.004437733628484941;-0.004799955206024997;-0.004447161446398229;-0.0043999342778928046;-0.004764487393398969
15;-0.004437733628484941;-0.004799955206024997;-0.004447161446398229;-0.0043999342778928046;-0.004764487393398969
16;-0.004437733628484941;-0.004376661435422225;-0.004378880318681011;-0.004327468940427662;-0.0047107037282548385
17;-0.004373358429280512;-0.004376661435422225;-0.004378880318681011;-0.004266667365102342;-0.004704361360682154
18;-0.004373358429280512;-0.004376661435422225;-0.004378880318681011;-0.0042116257801987165;-0.004562891622211741
19;-0.004255623467694021;-0.004355649634368976;-0.004371837678619322;-0.004109947841993151;-0.0045036270799872465
20;-0.004147019424950266;-0.004335780619299579;-0.004317494716851387;-0.004109947841993151;-0.004499649823585715
21;-0.004035773372570524;-0.0043159225755969605;-0.004317494716851387;-0.004109947841993151;-0.004497409641263623
22;-0.004035773372570524;-0.0043159225755969605;-0.004317494716851387;-0.004093675507446039;-0.00449020653897167
23;-0.004000712264715432;-0.004312899477236822;-0.004317494716851387;-0.004090913832466037;-0.004455041177322842
