Generations;0;1;2;3;4
0;-0.009110911803526063;-0.007504596301116262;-0.010567781895601334;-0.008235420945796323;-0.008440804110127738
1;-0.008353451016667407;-0.007504596301116262;-0.008588849368617835;-0.0076854325205305135;-0.008204591748494453
2;-0.007714485755230826;-0.007358324226562701;-0.007267564092293122;-0.007110888234370804;-0.007785608819279873
3;-0.007261519782401183;-0.006865329936270884;-0.006925565358801743;-0.006978316925742582;-0.007157540679555415
4;-0.0070910630128371;-0.006804081728726275;-0.00684203829169131;-0.006940898817500685;-0.007103891195699953
5;-0.007043368993751007;-0.006804081728726275;-0.006782864595218926;-0.006814666807867583;-0.007085579852336613
6;-0.006985863928095133;-0.006795949865215557;-0.006782864595218926;-0.006814666807867583;-0.006875318996862862
7;-0.006949044581871966;-0.006793599889047336;-0.006782864595218926;-0.006814666807867583;-0.0068411594905991744
8;-0.006906108885766268;-0.006785455463843277;-0.006781014631009448;-0.006806237333101511;-0.00680482188903804
9;-0.006906108885766268;-0.006785455463843277;-0.006781014631009448;-0.006790960826831522;-0.006796075836994783
10;-0.0068791264506509655;-0.006784996473500527;-0.006780746519986723;-0.006787131568191673;-0.006796075836994783
11;-0.0068791264506509655;-0.006784939558415256;-0.006780746519986723;-0.006786831692033385;-0.006796075836994783
12;-0.0068791264506509655;-0.0067824231121824795;-0.006780746519986723;-0.006786831692033385;-0.006796075836994783
13;-0.006872347974414259;-0.006782297888997501;-0.006780435088637107;-0.006786831692033385;-0.006796075836994783
14;-0.0068354793956272196;-0.006781906976080894;-0.006780435088637107;-0.00678521446448883;-0.006796075836994783
15;-0.0068354793956272196;-0.006781584527864448;-0.006780324698258625;-0.00678521446448883;-0.006796075836994783
16;-0.0068354793956272196;-0.0067814097410062845;-0.006778944346898292;-0.00678521446448883;-0.006796075836994783
17;-0.0068354793956272196;-0.0067814097410062845;-0.006778944346898292;-0.00678521446448883;-0.006796075836994783
18;-0.0068129319678893385;-0.006781227641614705;-0.006778740294592965;-0.00678521446448883;-0.006796075836994783
19;-0.006812754085007753;-0.006781191784529983;-0.006778740294592965;-0.00678517375306538;-0.006796075836994783
20;-0.006812754085007753;-0.006780334098613423;-0.006778740294592965;-0.00678517375306538;-0.006796075836994783
21;-0.006812754085007753;-0.006779466619023475;-0.006778740294592965;-0.00678517375306538;-0.006796075836994783
22;-0.006792693274366463;-0.006779466619023475;-0.006778740294592965;-0.00678517375306538;-0.0067912488875941784
23;-0.006792693274366463;-0.006779188970468199;-0.006778740294592965;-0.00678517375306538;-0.0067912488875941784
24;-0.006792693274366463;-0.006779188970468199;-0.006778740294592965;-0.00678517375306538;-0.0067897912732757
25;-0.006792693274366463;-0.006779188970468199;-0.006778740294592965;-0.00678016659922993;-0.0067897912732757
26;-0.006791760959431386;-0.006779188970468199;-0.006778740294592965;-0.00678016659922993;-0.0067897912732757
27;-0.006788169169982835;-0.006779188970468199;-0.006778740294592965;-0.00678016659922993;-0.006787328260807539
28;-0.006787236233603367;-0.006779035775638504;-0.006778587264070472;-0.00678016659922993;-0.006781090846782111
29;-0.006787105698757473;-0.006779035775638504;-0.006778587264070472;-0.006779525027011147;-0.006781090846782111
30;-0.006784945288062175;-0.006779035775638504;-0.006778587264070472;-0.006779525027011147;-0.006781090846782111
31;-0.0067838813114468495;-0.006779035775638504;-0.006778587264070472;-0.006779525027011147;-0.006781090846782111
32;-0.0067838813114468495;-0.0067787310755005525;-0.006778587264070472;-0.006779525027011147;-0.006779192262202416
33;-0.0067838813114468495;-0.0067787310755005525;-0.006778587264070472;-0.006779525027011147;-0.006779192262202416
34;-0.0067838813114468495;-0.0067787310755005525;-0.006778587264070472;-0.006779497981940845;-0.006779192262202416
35;-0.0067838813114468495;-0.0067787310755005525;-0.006778537195502559;-0.006779497981940845;-0.006779192262202416
36;-0.0067838813114468495;-0.0067787310755005525;-0.006778537195502559;-0.006779497981940845;-0.006779192262202416
37;-0.0067838813114468495;-0.0067787310755005525;-0.006778537195502559;-0.006779452218893142;-0.006779192262202416
38;-0.0067838813114468495;-0.0067787310755005525;-0.006778537195502559;-0.006779452218893142;-0.006779192262202416
39;-0.0067838813114468495;-0.0067787310755005525;-0.006778537195502559;-0.006778734481524686;-0.006779192262202416
40;-0.0067838813114468495;-0.0067787310755005525;-0.006778537195502559;-0.006778734481524686;-0.006779192262202416
41;-0.0067838813114468495;-0.0067787310755005525;-0.006778537195502559;-0.006778688713322577;-0.006779192262202416
42;-0.00678117114057852;-0.0067787310755005525;-0.006778537195502559;-0.006778688713322577;-0.006779132468100394
43;-0.006779495828978196;-0.0067787310755005525;-0.006778537195502559;-0.006778688713322577;-0.006778965134769671
44;-0.006779495828978196;-0.0067787310755005525;-0.006778537195502559;-0.006778688713322577;-0.006778905338664246
45;-0.006778835715388447;-0.0067787310755005525;-0.006778537195502559;-0.006778409835338937;-0.006778905338664246
46;-0.006778835715388447;-0.006778595316945568;-0.006778537195502559;-0.006778364064944785;-0.006778905338664246
47;-0.006778835715388447;-0.006778595316945568;-0.006778537195502559;-0.006778364064944785;-0.006778905338664246
48;-0.006778835715388447;-0.006778557160847886;-0.006778537195502559;-0.006778364064944785;-0.006778905338664246
