Generations;0;1;2;3;4
0;-0.008690937704484123;-0.008664314153366779;-0.012499123688630915;-0.010139572550534942;-0.008832122508769094
1;-0.008690937704484123;-0.008664314153366779;-0.011537926139484655;-0.00757654496808846;-0.007896888770691654
2;-0.008690937704484123;-0.008664314153366779;-0.00943463139329445;-0.00757654496808846;-0.007601252548404893
3;-0.008196838007355921;-0.006064190879051688;-0.00897493686166834;-0.007142832109706499;-0.006966824276575225
4;-0.0070990475672495345;-0.006064190879051688;-0.008148706046872263;-0.006627438727508104;-0.006905610114998953
5;-0.0070990475672495345;-0.006064190879051688;-0.007398600730424679;-0.006627438727508104;-0.006775732052265389
6;-0.006956371381871842;-0.006064190879051688;-0.006593119241444779;-0.005298448116752261;-0.006613600026935636
7;-0.006406606570341126;-0.006064190879051688;-0.006593119241444779;-0.005298448116752261;-0.006358494406597022
8;-0.005971122137532898;-0.006064190879051688;-0.0062924397360834385;-0.005298448116752261;-0.005966878827949368
9;-0.005971122137532898;-0.006032884369857334;-0.005904678425869472;-0.005298448116752261;-0.0054312152362253775
10;-0.004992486557083834;-0.005352119611801396;-0.005904678425869472;-0.005287875762257219;-0.0054312152362253775
11;-0.0048588520627359695;-0.005267576131430253;-0.005904678425869472;-0.005287875762257219;-0.0054312152362253775
12;-0.0048588520627359695;-0.005267576131430253;-0.005904678425869472;-0.0052871560946557;-0.005270602748135387
13;-0.0048588520627359695;-0.005267576131430253;-0.005404201875770735;-0.0052871560946557;-0.005270602748135387
14;-0.0048588520627359695;-0.004913501148107919;-0.00526401364012612;-0.0052871560946557;-0.005270602748135387
15;-0.0048588520627359695;-0.004913501148107919;-0.00526401364012612;-0.0052871560946557;-0.005270602748135387
16;-0.0048588520627359695;-0.004913501148107919;-0.005219820698368925;-0.005270500665492933;-0.005270602748135387
17;-0.0048588520627359695;-0.004913501148107919;-0.004804746934917218;-0.005196954390936814;-0.005220255725753289
18;-0.004808734943727385;-0.004913501148107919;-0.004804746934917218;-0.005026756685404494;-0.005209467364895265
19;-0.004633912839913818;-0.004913501148107919;-0.004804746934917218;-0.005026756685404494;-0.00519824135407564
20;-0.004633912839913818;-0.004913501148107919;-0.004804746934917218;-0.005026756685404494;-0.00519824135407564
21;-0.004633912839913818;-0.004868888395164041;-0.004780447067563143;-0.005011832173663002;-0.0050195651759908505
22;-0.004633912839913818;-0.004868888395164041;-0.004780447067563143;-0.004615769865293143;-0.0050195651759908505
23;-0.004633912839913818;-0.004733762247544473;-0.004780447067563143;-0.004615769865293143;-0.004905167865664427
24;-0.004633912839913818;-0.004733762247544473;-0.004770834898478188;-0.004615769865293143;-0.004905167865664427
25;-0.004633912839913818;-0.004733762247544473;-0.004770834898478188;-0.0045125826979750166;-0.004905167865664427
26;-0.004633912839913818;-0.004733762247544473;-0.004770834898478188;-0.0045125826979750166;-0.004905167865664427
27;-0.004633912839913818;-0.004733762247544473;-0.004770834898478188;-0.0045125826979750166;-0.0048926146216984115
28;-0.004633912839913818;-0.004696262130255386;-0.004770834898478188;-0.0045125826979750166;-0.004783421496388531
29;-0.004633912839913818;-0.004696262130255386;-0.004770834898478188;-0.004331727483569866;-0.004783421496388531
30;-0.004633912839913818;-0.004696262130255386;-0.004770834898478188;-0.004331727483569866;-0.004783421496388531
31;-0.004633912839913818;-0.004636762011011142;-0.004770834898478188;-0.004331727483569866;-0.004783421496388531
32;-0.004633912839913818;-0.004636762011011142;-0.004770834898478188;-0.004331727483569866;-0.004783421496388531
33;-0.004633912839913818;-0.004636762011011142;-0.004770834898478188;-0.004331727483569866;-0.004783421496388531
34;-0.00460488695348798;-0.004636762011011142;-0.004599435764035959;-0.004331727483569866;-0.004783421496388531
35;-0.00460488695348798;-0.004636762011011142;-0.004596203109539971;-0.004331727483569866;-0.004783421496388531
36;-0.00460488695348798;-0.004636762011011142;-0.004596203109539971;-0.004331727483569866;-0.004783421496388531
37;-0.00460488695348798;-0.004636762011011142;-0.004596203109539971;-0.004331727483569866;-0.004783421496388531
38;-0.00460488695348798;-0.004636762011011142;-0.004585341271319493;-0.004331727483569866;-0.00471717281577242
39;-0.00460488695348798;-0.004573604315616132;-0.004585341271319493;-0.004331727483569866;-0.00471717281577242
40;-0.00460488695348798;-0.004573604315616132;-0.004585341271319493;-0.004331727483569866;-0.00471717281577242
41;-0.004575057055809422;-0.004562075757079113;-0.004585341271319493;-0.004331727483569866;-0.00471717281577242
42;-0.004575057055809422;-0.004562075757079113;-0.004585341271319493;-0.004313550762962183;-0.00471717281577242
43;-0.004575057055809422;-0.004562075757079113;-0.004585341271319493;-0.004299018822024907;-0.00471717281577242
44;-0.004575057055809422;-0.004562075757079113;-0.004519180835057408;-0.004299018822024907;-0.00471717281577242
45;-0.004575057055809422;-0.004562075757079113;-0.004519180835057408;-0.004299018822024907;-0.00471717281577242
46;-0.004575057055809422;-0.004562075757079113;-0.0044787097469248536;-0.004299018822024907;-0.00471717281577242
47;-0.004575057055809422;-0.004497917931242017;-0.0044787097469248536;-0.004299018822024907;-0.00471717281577242
48;-0.004575057055809422;-0.004497917931242017;-0.004402831034670719;-0.004299018822024907;-0.00471717281577242
49;-0.004575057055809422;-0.004497917931242017;-0.004402831034670719;-0.004299018822024907;-0.00471717281577242
50;-0.004575057055809422;-0.004497917931242017;-0.004402831034670719;-0.004299018822024907;-0.00471717281577242
51;-0.004575057055809422;-0.004497917931242017;-0.004402831034670719;-0.004299018822024907;-0.00471717281577242
52;-0.004575057055809422;-0.00449298373882693;-0.004402831034670719;-0.004299018822024907;-0.00471717281577242
53;-0.004575057055809422;-0.00449298373882693;-0.004402831034670719;-0.004299018822024907;-0.004680335433157455
54;-0.004575057055809422;-0.00449298373882693;-0.004402831034670719;-0.004299018822024907;-0.004680335433157455
55;-0.0045598404160909056;-0.00449298373882693;-0.004402831034670719;-0.004299018822024907;-0.004680335433157455
56;-0.004475497617932758;-0.00449298373882693;-0.004402831034670719;-0.004299018822024907;-0.004680335433157455
57;-0.004475497617932758;-0.00449298373882693;-0.004402831034670719;-0.004299018822024907;-0.004680335433157455
58;-0.004475497617932758;-0.00449298373882693;-0.004402831034670719;-0.004299018822024907;-0.004680335433157455
59;-0.004475497617932758;-0.0044071411714718565;-0.004402831034670719;-0.004299018822024907;-0.004665592218571891
