begin;end;id;id2;sampledSeconds;traveltime;overlapTraveltime;density;laneDensity;occupancy;waitingTime;timeLoss;speed;speedRelative;departed;arrived;entered;left;laneChangedFrom;laneChangedTo
0;2;dump;-E2;1;5,35;5,88;10;10;5;0;0,06;9,35;0,47;2;0;0;0;0;0
0;2;dump;E0;0;;;;;;;;;;1;0;0;0;0;0
2;4;dump;-E2;4;5,97;6,56;40;40;20;0;0,65;8,38;0,42;1;0;0;0;0;0
2;4;dump;E0;3;5,73;6,3;30;30;15;0;0,38;8,72;0,44;2;0;0;0;0;0
4;6;dump;-E2;6;7,1;7,81;60;60;30;0;1,77;7,05;0,35;0;0;0;0;0;0
4;6;dump;E0;6;7,25;7,98;60;60;30;0;1,86;6,9;0,34;1;0;0;0;0;0
6;8;dump;-E2;7;13,51;14,86;70;70;35;1;4,41;3,7;0,19;1;0;0;0;0;0
6;8;dump;E0;7,42;8,22;8,68;74,23;74,23;35,84;0;2,72;6,34;0,32;1;0;0;1;0;0
6;8;dump;link;1,07;10,17;10,68;5,37;5,37;2,05;0;0,02;9,83;0,49;0;0;1;0;0;0
8;10;dump;-E2;9;18,16;19,98;90;90;45;4;6,52;2,75;0,14;1;0;0;0;0;0
8;10;dump;E0;7,4;8,88;9,32;73,99;73,99;35,67;0;3,03;5,9;0,3;0;0;0;1;0;0
8;10;dump;link;3,12;11,4;11,97;15,6;15,6;7,14;0;0,38;8,77;0,44;0;0;1;0;0;0
10;12;dump;-E2;11;36,13;39,74;110;110;55;4;9,48;1,38;0,07;1;0;0;0;0;0
10;12;dump;E0;6,52;7,64;8,21;65,2;65,2;31,02;0;2,15;6,7;0,33;1;0;0;1;0;0
10;12;dump;link;5,08;12,66;13,3;25,41;25,41;11,96;0;1,07;7,9;0,39;0;0;1;0;0;0
12;14;dump;-E2;12;55,97;61,56;120;120;60;7;10,93;0,89;0,04;1;0;0;0;0;0
12;14;dump;E0;7;7,76;8,51;70;70;34,54;0;2,48;6,46;0,32;1;0;0;1;0;0
12;14;dump;link;6,35;11,67;12,25;31,76;31,76;15,21;0;0,91;8,57;0,43;0;0;1;0;0;0
14;16;dump;-E2;14;103,09;113,4;140;140;70;8;13,32;0,49;0,02;0;0;0;0;0;0
14;16;dump;E0;6,29;8,01;8,42;62,87;62,87;29,53;0;2,18;6,53;0,33;1;0;0;1;0;0
14;16;dump;link;8,42;12,06;12,66;42,12;42,12;20,2;0;1,44;8,29;0,41;0;0;1;0;0;0
16;18;dump;-E2;14;428,79;471,67;140;140;70;10;13,84;0,12;0,01;0;0;0;0;0;0
16;18;dump;E0;6,15;9,16;9,79;61,47;61,47;29,85;0;2,69;5,62;0,28;0;0;0;1;0;0
16;18;dump;link;10,24;12,2;12,81;51,18;51,18;25,06;0;1,85;8,2;0,41;0;0;1;0;0;0
18;20;dump;-E2;14;1259,09;1385;140;140;70;11;13,94;0,04;0;0;0;0;0;0;0
18;20;dump;E0;5,4;7,38;8,05;54,04;54,04;25,61;0;1,71;6,83;0,34;1;0;0;0;0;0
18;20;dump;E2;1,35;5,64;6,2;13,53;13,53;5,28;0;0,15;8,87;0,44;0;0;1;0;0;0
18;20;dump;link;11,22;12,39;12,97;56,09;56,09;27,01;0;2,14;8,1;0,4;0;0;0;1;0;0
20;22;dump;-E2;14;477,37;341,53;140;140;69,69;11;13,77;0,16;0,01;0;0;0;1;0;0
20;22;dump;-link;0,63;82,37;86,49;3,14;3,14;0,12;0;0,55;1,21;0,06;0;0;1;0;0;0
20;22;dump;E0;6,17;6,84;7,34;61,67;61,67;29,51;0;1,55;7,49;0,37;1;0;0;1;0;0
20;22;dump;E2;3,01;5,51;6,06;30,11;30,11;13,67;0;0,28;9,08;0,45;0;0;1;0;0;0
