tlsState_id;tlsState_phase;tlsState_programID;tlsState_state;tlsState_time
end;0;0;rG;0.00
end;0;0;rG;1.00
end;0;0;rG;2.00
end;0;0;rG;3.00
end;0;0;rG;4.00
end;0;0;rG;5.00
end;0;0;rG;6.00
end;0;0;rG;7.00
end;0;0;rG;8.00
end;0;0;rG;9.00
end;0;0;rG;10.00
end;0;0;rG;11.00
end;0;0;rG;12.00
end;0;0;rG;13.00
end;0;0;rG;14.00
end;0;0;rG;15.00
end;1;0;yG;16.00
end;1;0;yG;17.00
end;1;0;yG;18.00
end;1;0;yG;19.00
end;2;0;GG;20.00
end;2;0;GG;21.00
end;2;0;GG;22.00
end;2;0;GG;23.00
end;2;0;GG;24.00
end;2;0;GG;25.00
end;2;0;GG;26.00
end;2;0;GG;27.00
end;2;0;GG;28.00
end;2;0;GG;29.00
end;2;0;GG;30.00
end;2;0;GG;31.00
end;2;0;GG;32.00
end;2;0;GG;33.00
end;2;0;GG;34.00
end;2;0;GG;35.00
end;2;0;GG;36.00
end;2;0;GG;37.00
end;2;0;GG;38.00
end;2;0;GG;39.00
end;2;0;GG;40.00
end;2;0;GG;41.00
end;2;0;GG;42.00
end;2;0;GG;43.00
end;2;0;GG;44.00
end;2;0;GG;45.00
end;2;0;GG;46.00
end;2;0;GG;47.00
end;2;0;GG;48.00
end;2;0;GG;49.00
end;2;0;GG;50.00
end;2;0;GG;51.00
end;2;0;GG;52.00
end;2;0;GG;53.00
end;2;0;GG;54.00
end;2;0;GG;55.00
end;2;0;GG;56.00
end;2;0;GG;57.00
end;2;0;GG;58.00
end;2;0;GG;59.00
end;0;0;rG;60.00
end;0;0;rG;61.00
end;0;0;rG;62.00
end;0;0;rG;63.00
end;0;0;rG;64.00
end;0;0;rG;65.00
end;0;0;rG;66.00
end;0;0;rG;67.00
end;0;0;rG;68.00
end;0;0;rG;69.00
end;0;0;rG;70.00
end;0;0;rG;71.00
end;0;0;rG;72.00
end;0;0;rG;73.00
end;0;0;rG;74.00
end;0;0;rG;75.00
end;1;0;yG;76.00
end;1;0;yG;77.00
end;1;0;yG;78.00
end;1;0;yG;79.00
end;2;0;GG;80.00
end;2;0;GG;81.00
end;2;0;GG;82.00
end;2;0;GG;83.00
end;2;0;GG;84.00
end;2;0;GG;85.00
end;2;0;GG;86.00
end;2;0;GG;87.00
end;2;0;GG;88.00
end;2;0;GG;89.00
end;2;0;GG;90.00
end;2;0;GG;91.00
end;2;0;GG;92.00
end;2;0;GG;93.00
end;2;0;GG;94.00
