begin;end;id;id2;sampledSeconds;traveltime;overlapTraveltime;density;laneDensity;occupancy;waitingTime;timeLoss;speed;speedRelative;departed;arrived;entered;left;laneChangedFrom;laneChangedTo
0;2;dump;-E2;1;7,53;8,28;10;10;5;0;0,05;6,64;0,33;1;0;0;0;0;0
0;2;dump;E0;0;;;;;;;;;;1;0;0;0;0;0
2;4;dump;-E2;2;7,21;7,93;20;20;10;0;0,02;6,93;0,35;0;0;0;0;0;0
2;4;dump;E0;3;6,32;6,95;30;30;15;0;0,63;7,91;0,4;1;0;0;0;0;0
4;6;dump;-E2;2;7,26;7,99;20;20;10;0;0,03;6,89;0,34;0;0;0;0;0;0
4;6;dump;E0;5;6,22;6,84;50;50;25;0;0,98;8,04;0,4;1;0;0;0;0;0
6;8;dump;-E2;2;10,65;11,71;20;20;10;0;0,66;4,69;0,23;0;0;0;0;0;0
6;8;dump;E0;6,37;6,91;7,4;63,69;63,69;30,57;0;1,63;7,44;0,37;1;0;0;1;0;0
6;8;dump;link;1,14;10,24;10,76;5,68;5,68;2,19;0;0,03;9,76;0,49;0;0;1;0;0;0
8;10;dump;-E2;2;497,94;547,74;20;20;10;1;1,97;0,1;0,01;0;0;0;0;0;0
8;10;dump;E0;5,48;6,04;6,55;54,75;54,75;26,07;0;0,88;8,4;0,42;0;0;0;1;0;0
8;10;dump;link;3,04;11,39;11,96;15,21;15,21;6,94;0;0,37;8,78;0,44;0;0;1;0;0;0
10;12;dump;-E2;2;3988,19;4387;20;20;10;2;2;0,01;0;0;0;0;0;0;0
10;12;dump;E0;3,39;5,81;6,42;33,85;33,85;15,36;0;0,49;8,56;0,43;0;0;0;1;0;0
10;12;dump;link;5,2;12,47;13,1;26;26;12,29;0;1,03;8,02;0,4;0;0;1;0;0;0
12;14;dump;-E2;2;;100000;20;20;10;2;2;0;0;0;0;0;0;0;0
12;14;dump;E0;2,66;8,62;8,6;26,58;26,58;11,82;0;0,96;6,4;0,32;1;0;0;1;0;0
12;14;dump;link;6,92;11,44;12,01;34,59;34,59;16,56;0;0,87;8,74;0,44;0;0;1;0;0;0
14;16;dump;-E2;2;;100000;20;20;10;2;2;0;0;0;0;0;0;0;0
14;16;dump;E0;3;7,3;8,03;30;30;15;0;0,94;6,85;0,34;1;0;0;0;0;0
14;16;dump;link;8;12,23;12,84;40;40;20;0;1,46;8,18;0,41;0;0;0;0;0;0
16;18;dump;-E2;2;;100000;20;20;10;2;2;0;0;0;0;0;0;0;0
16;18;dump;E0;4;5,8;6,38;40;40;20;0;0,55;8,62;0,43;0;0;0;0;0;0
16;18;dump;link;8;13,3;13,96;40;40;20;0;1,98;7,52;0,38;0;0;0;0;0;0
18;20;dump;-E2;2;;100000;20;20;10;2;2;0;0;0;0;0;0;0;0
18;20;dump;E0;4,34;5,59;6,23;43,39;43,39;20,16;0;0,51;8,83;0,44;1;0;0;1;0;0
18;20;dump;link;9,26;16,1;16,91;46,32;46,32;22,39;0;3,51;6,21;0,31;0;0;1;0;0;0
20;22;dump;-E2;2;60,92;52,5;20;20;9,57;0;1,7;1,05;0,05;0;0;0;1;0;0
20;22;dump;-link;0,71;71,31;74,88;3,54;3,54;0,18;0;0,57;1,4;0,07;0;0;1;0;0;0
20;22;dump;E0;3,27;5,46;6,01;32,66;32,66;14,97;0;0,28;9,16;0,46;0;0;0;1;0;0
20;22;dump;E2;1,58;7,5;8,25;15,78;15,78;5,25;0;0,53;6,67;0,33;0;0;1;0;0;0
20;22;dump;link;10,58;15,07;16,06;52,9;52,9;24,82;0;3,66;6,54;0,33;0;0;1;1;0;0
22;24;dump;-E2;1,73;;24,32;17,27;17,27;3,58;0;1,17;2,26;0,11;0;0;0;0;0;0
22;24;dump;-link;2;43,37;45,54;10;10;3,12;0;1,34;2,31;0,12;0;0;0;0;0;0
22;24;dump;E0;2;5,35;5,89;20;20;9,95;0;0,13;9,34;0,47;0;0;0;1;0;0
22;24;dump;E2;3,24;5,62;6,18;32,42;32,42;14,55;0;0,36;8,9;0,44;0;0;1;0;0;0
22;24;dump;link;9,45;14,89;15,44;47,26;47,26;22,71;0;3,02;6,8;0,34;0;0;1;1;0;0
24;26;dump;-link;2;27,06;28,42;10;10;5;0;0,94;3,7;0,18;0;0;0;0;0;0
24;26;dump;E0;0,47;;6,27;4,65;4,65;0,95;0;0,06;8,77;0,44;1;0;0;0;0;0
24;26;dump;E2;5,34;5,45;5,99;53,4;53,4;25,31;0;0,44;9,18;0,46;0;0;1;0;0;0
24;26;dump;link;9,21;12,01;12,55;46,03;46,03;21,82;0;1,51;8,36;0,42;0;0;0;1;0;0
26;28;dump;-link;2;20,15;21,16;10;10;5;0;0,58;4,96;0,25;0;0;0;0;0;0
26;28;dump;E0;2;2,91;3,2;20;20;10;0;0,28;17,21;0,86;1;0;0;0;0;0
26;28;dump;E2;6,08;5,64;6,15;60,8;60,8;27,6;0;0,65;8,94;0,45;0;1;1;0;0;0
26;28;dump;link;7,34;11,74;12,32;36,69;36,69;17,65;0;1,08;8,52;0,43;0;0;0;1;0;0
28;30;dump;-link;2;16,39;17,21;10;10;5;0;0,26;6,1;0,31;0;0;0;0;0;0
28;30;dump;E0;2,81;7,44;6,98;28,08;28,08;13,39;0;1,37;7,87;0,39;1;0;0;1;0;0
28;30;dump;E2;5;5,89;6,55;50;50;24,02;0;0,8;8,39;0,42;0;1;0;0;0;0
28;30;dump;link;7,45;9,27;9,74;37,24;37,24;18,29;0;0,67;10,78;0,54;0;0;1;0;0;0
30;32;dump;-E2;1;21,39;23,52;10;10;5;0;0,87;2,34;0,12;1;0;0;0;0;0
30;32;dump;-link;2;14,65;15,38;10;10;5;0;0,05;6,83;0,34;0;0;0;0;0;0
30;32;dump;E0;4;10,68;11,75;40;40;20;1;2,13;4,68;0,23;0;0;0;0;0;0
30;32;dump;E2;4,51;5,36;5,93;45,1;45,1;19,86;0;0,33;9,28;0,46;0;1;1;0;0;0
30;32;dump;link;6,8;9,98;10,5;33,99;33,99;16,35;0;1,28;10;0,5;0;0;0;1;0;0
32;34;dump;-E2;2;10,12;11,14;20;20;10;0;1,47;4,94;0,25;0;0;0;0;0;0
32;34;dump;-link;2;14,7;15,43;10;10;5;0;0,06;6,8;0,34;0;0;0;0;0;0
32;34;dump;E0;5;6,82;7,5;50;50;25;0;1,33;7,33;0,37;1;0;0;0;0;0
32;34;dump;E2;4,62;5,65;6,3;46,22;46,22;20,28;0;0,58;8,74;0,44;0;1;1;0;0;0
32;34;dump;link;4,82;10,14;10,66;24,08;24,08;11,4;0;1,15;9,85;0,49;0;0;0;1;0;0
34;36;dump;-E2;2;6,21;6,83;20;20;10;0;1,13;8,05;0,4;0;0;0;0;0;0
34;36;dump;-link;2;15,03;15,78;10;10;5;0;0,1;6,65;0,33;0;0;0;0;0;0
34;36;dump;E0;6,2;6,91;7,42;61,96;61,96;29,65;0;1,6;7,41;0,37;1;0;0;1;0;0
34;36;dump;E2;4,78;5,66;6,23;47,77;47,77;22,45;0;0,56;8,83;0,44;0;1;1;0;0;0
34;36;dump;link;5,12;11,04;11,64;25,58;25,58;11,39;0;1,41;9,02;0,45;0;0;1;1;0;0
36;38;dump;-E2;1,89;4,48;4,83;18,94;18,94;8,45;0;0,73;11,4;0,57;0;0;0;1;0;0
36;38;dump;-link;2,51;12,65;13,28;12,53;12,53;5,75;0;0,23;7,91;0,4;0;0;1;0;0;0
36;38;dump;E0;6,88;8,32;8,85;68,77;68,77;32,88;0;2,76;6,21;0,31;1;0;0;1;0;0
36;38;dump;E2;4,88;5,37;5,9;48,76;48,76;22,81;0;0,74;9,32;0,47;0;1;1;0;0;0
36;38;dump;link;4,36;11,41;11,88;21,8;21,8;9,48;0;1,25;8,84;0,44;0;0;1;1;0;0
38;40;dump;-E0;0,4;7,39;8,12;3,98;3,98;0,54;0;0,01;6,77;0,34;0;0;1;0;0;0
38;40;dump;-link;4;8,98;9,83;20;20;9,71;0;0,5;10,68;0,53;0;0;0;1;0;0
38;40;dump;E0;6;7,54;8,29;60;60;29,34;0;2,49;6,64;0,33;0;0;0;1;0;0
38;40;dump;E2;4;5,67;6,24;40;40;20;0;1,36;8,82;0,44;0;0;0;0;0;0
38;40;dump;link;4,43;11,16;11,72;22,14;22,14;10,31;0;0,46;8,96;0,45;0;0;1;0;0;0
40;42;dump;-E0;2;7,34;8,07;20;20;9,61;0;0,05;6,81;0,34;0;0;0;0;0;0
40;42;dump;-link;2,32;5,78;6,63;11,61;11,61;5,18;0;0,14;15,84;0,79;0;0;0;0;0;0
