Generations;0;1;2;3;4
0;-0.01504560762949802;-0.01546676614004783;-0.016603308791669852;-0.0167413150463851;-0.01924412699696613
1;-0.013148255122142004;-0.013339844575241828;-0.013340522450465183;-0.013954921604055485;-0.016777852688460403
2;-0.01076669691024986;-0.009410415845543361;-0.009379778134765706;-0.011715191841729495;-0.011947937501175013
3;-0.00831453309734586;-0.009410415845543361;-0.008531682814261395;-0.009770401873012051;-0.010448184813538701
4;-0.007280923947342034;-0.00745427485299272;-0.0076945791458876015;-0.008372731200197108;-0.008171184853441659
5;-0.007134737739680846;-0.0069136763075755515;-0.007470892793705571;-0.006960523818370991;-0.007846768669940633
6;-0.007005370058428644;-0.006820826500897229;-0.007077447160432774;-0.006848867713661014;-0.007457838890868529
7;-0.006610848380221777;-0.0065175095196414795;-0.006603258213837505;-0.006641734791775579;-0.0069723635335453855
8;-0.006610848380221777;-0.006487241459344684;-0.006603258213837505;-0.00599802698521676;-0.00666412870315086
9;-0.006404536149540046;-0.00633328904639918;-0.006438944966426551;-0.0059094944352121705;-0.006499135762979983
10;-0.00620324569792661;-0.006210350007790986;-0.006378962635815181;-0.0059094944352121705;-0.005922115222858794
11;-0.006054768475560724;-0.0060425221113474545;-0.0060435974707304845;-0.005880320741773261;-0.00584416109924994
12;-0.006054768475560724;-0.005899592620771169;-0.0059535822994;-0.005835788281160054;-0.0057985184997833734
13;-0.005856040428370948;-0.0058102871508080205;-0.0059316129151390316;-0.005830658446635213;-0.005663629939000836
14;-0.005751216346363008;-0.005792371874730676;-0.005916904686724687;-0.005743035557789179;-0.005663629939000836
15;-0.005751216346363008;-0.005742932634037129;-0.00588836725836778;-0.005736943657017465;-0.005663629939000836
16;-0.005713630505432065;-0.005742932634037129;-0.00580165631760951;-0.005729514203277133;-0.005663629939000836
17;-0.005684565120336703;-0.005713378489846228;-0.00571060079685706;-0.00569376301304388;-0.005635665321837768
18;-0.005659198358552473;-0.005713378489846228;-0.005689280336379301;-0.00569376301304388;-0.005635665321837768
19;-0.005634897996109186;-0.005682191946471121;-0.005631463283319553;-0.005691136396169927;-0.005635665321837768
20;-0.005634897996109186;-0.005654919289147534;-0.005628141812748102;-0.005681464172117825;-0.005635486499060403
21;-0.005634897996109186;-0.005654087475873753;-0.005596749208314402;-0.005654354005485946;-0.0056320742804676655
22;-0.005619127191862689;-0.005642759303696732;-0.005596749208314402;-0.005651849969410217;-0.005631257931767568
23;-0.005600500576174784;-0.0056196963216741036;-0.0055781810523617735;-0.005651849969410217;-0.005614766469850723
24;-0.005594729304244525;-0.005619549136728089;-0.0055781810523617735;-0.005604517735475184;-0.005614338551011912
25;-0.005594729304244525;-0.005601482965022488;-0.0055781810523617735;-0.005601139656388925;-0.005610927717813411
26;-0.005591285792727621;-0.005601482965022488;-0.005574000120855914;-0.005601139656388925;-0.005610927717813411
27;-0.005591285792727621;-0.00559406799207006;-0.005573079202073795;-0.005601139656388925;-0.0056103563565778015
28;-0.005591285792727621;-0.00559406799207006;-0.005571692529837291;-0.005598967660555872;-0.005588248825609049
29;-0.00559083518971471;-0.005589890994547872;-0.005564665062104068;-0.005597879843122607;-0.005588248825609049
30;-0.00559083518971471;-0.005584935173729761;-0.0055630651295844324;-0.005568929168341303;-0.005583949979170635
31;-0.005588664255819657;-0.005580696005442329;-0.0055630651295844324;-0.005568929168341303;-0.005583949979170635
32;-0.005585901376694541;-0.005574046077657121;-0.0055630651295844324;-0.005568929168341303;-0.005583596784553736
33;-0.00558574036717231;-0.005570744353748658;-0.0055630651295844324;-0.005564754811199058;-0.00558341628087466
34;-0.005580861742035807;-0.005570744353748658;-0.005562287395645194;-0.005564754811199058;-0.0055831488348514905
35;-0.005569029012425817;-0.005570744353748658;-0.005559471760073558;-0.005564754811199058;-0.0055831488348514905
36;-0.005569029012425817;-0.005567356997419376;-0.00555679042438047;-0.005564754811199058;-0.005579670809919448
37;-0.005569029012425817;-0.005567072212250404;-0.00555679042438047;-0.005562717325720262;-0.005579208104471864
38;-0.005569029012425817;-0.005567072212250404;-0.005556568330535669;-0.005562239426683725;-0.005579208104471864
39;-0.0055653815679790036;-0.005567072212250404;-0.005556565984785988;-0.005562239426683725;-0.005576216796405579
40;-0.0055653815679790036;-0.005561441118944863;-0.005556565984785988;-0.005562239426683725;-0.005572238923646735
41;-0.005563903740586595;-0.005561441118944863;-0.005556565984785988;-0.005562239426683725;-0.00557143435304172
42;-0.0055609140248986276;-0.005561441118944863;-0.005556565984785988;-0.005562239426683725;-0.005571387961599952
43;-0.0055609140248986276;-0.0055608994234771225;-0.0055565290171864954;-0.005562239426683725;-0.005571383848384141
44;-0.00555817110073064;-0.0055608994234771225;-0.0055565290171864954;-0.0055569634062960635;-0.005571383848384141
45;-0.005556143774998699;-0.005560724473248161;-0.005556338453630338;-0.0055569634062960635;-0.005571032629544185
46;-0.005555178299820628;-0.005559221659038418;-0.005556338453630338;-0.0055569634062960635;-0.005569969915051261
47;-0.005555178299820628;-0.005557181366003648;-0.0055513440947135015;-0.0055528474343176405;-0.005564273275999966
