Generations;0;1;2;3;4
0;-0.018324427567526044;-0.016275210927007965;-0.019030926263245193;-0.01539971752739607;-0.013997394221077248
1;-0.017720966008888516;-0.014080793004500105;-0.01660348349470336;-0.01539971752739607;-0.013997394221077248
2;-0.013228738801593153;-0.013253415179751761;-0.008781056360671979;-0.011378431343698021;-0.0106156054495891
3;-0.009213078080639992;-0.010543166698235386;-0.008781056360671979;-0.010882313500726888;-0.010577405117181863
4;-0.008793620536170374;-0.009052704293992806;-0.008060852692318323;-0.00791139105285749;-0.010480946451705074
5;-0.008139180584609386;-0.00872865752351394;-0.00773652478259904;-0.00791139105285749;-0.009567276887145338
6;-0.008139180584609386;-0.008507276910686154;-0.007537592469486594;-0.007474264347335315;-0.009057052524888504
7;-0.007234596839423074;-0.008189874564610882;-0.007537592469486594;-0.007474264347335315;-0.00817828548392823
8;-0.007198174549386541;-0.008014083450211167;-0.0070842976476168384;-0.007474264347335315;-0.008168961645495226
9;-0.007192558588286832;-0.007454555875159119;-0.0070842976476168384;-0.007474264347335315;-0.00791839717067796
10;-0.006949405696942627;-0.007454555875159119;-0.00705112313580559;-0.007474264347335315;-0.007516939223303288
11;-0.006949405696942627;-0.0073429290124325;-0.006984878118968352;-0.00743577280936849;-0.007373717439187343
12;-0.006851561796687221;-0.007083518861407252;-0.0069336997501480745;-0.007053197422188327;-0.007264323158341007
13;-0.006851561796687221;-0.007083518861407252;-0.0069336997501480745;-0.007053197422188327;-0.00688928749926585
14;-0.006795329684537408;-0.0069238618762784395;-0.006904187756437485;-0.007053197422188327;-0.00688928749926585
15;-0.0067690907053069745;-0.0069238618762784395;-0.006823816499335411;-0.007053197422188327;-0.006821109269992362
16;-0.0066555462807584885;-0.0069238618762784395;-0.006790612915905135;-0.007053197422188327;-0.006741024960855439
17;-0.0066555462807584885;-0.006898997919050231;-0.006739118407215392;-0.006908254584745246;-0.006698338521202198
18;-0.006542494070892491;-0.006898997919050231;-0.006739118407215392;-0.006908254584745246;-0.00663560244832474
19;-0.006542494070892491;-0.006887380718110545;-0.0066500476289491454;-0.006745714402820078;-0.006500673040238417
20;-0.00654178986993976;-0.006887214770928523;-0.0066500476289491454;-0.006745714402820078;-0.006500673040238417
21;-0.006529089684696519;-0.006863152489562454;-0.0066500476289491454;-0.006745714402820078;-0.006496992088621896
22;-0.006520969080595423;-0.006863152489562454;-0.0066500476289491454;-0.006745714402820078;-0.006477687207544862
23;-0.006509390645584045;-0.0065872982186164055;-0.006631372035852131;-0.006745714402820078;-0.006477687207544862
24;-0.006498898961490371;-0.006449080964398615;-0.006631372035852131;-0.006731528814500059;-0.006477687207544862
25;-0.006488354328979907;-0.006449080964398615;-0.0065884074263221765;-0.006705702970981955;-0.006477687207544862
26;-0.006483811319014932;-0.006429078424983246;-0.006573201581560579;-0.006705702970981955;-0.006448246063395235
27;-0.006471194549924212;-0.006425108744180136;-0.006563877035873295;-0.0066977299853362374;-0.0064407766051528025
28;-0.00646024630753105;-0.006405431438925003;-0.006561037003348014;-0.0066518210536334835;-0.006428363825358795
29;-0.006452854666032988;-0.006399632432408113;-0.00655899800001266;-0.006641423698533334;-0.006428363825358795
30;-0.006452854666032988;-0.00638380055146607;-0.00655899800001266;-0.006604117728954431;-0.0064240282601067894
31;-0.006444301056411647;-0.00638380055146607;-0.006557397891613915;-0.006604117728954431;-0.006411583055716315
32;-0.006441286033503884;-0.006378959568639102;-0.0065525865688522865;-0.0065666687745266185;-0.006411583055716315
33;-0.006371808560577761;-0.006361147845597715;-0.0065519633832148046;-0.006547362131820351;-0.006411583055716315
34;-0.006371808560577761;-0.006361147845597715;-0.006550967410210615;-0.006524481315084807;-0.006410614071902955
35;-0.006368554755151859;-0.00635157859648924;-0.00653281605025346;-0.006524481315084807;-0.006410614071902955
36;-0.006367313290837032;-0.006350208245063474;-0.00652563625180618;-0.006524481315084807;-0.006410614071902955
37;-0.006364614208222111;-0.006350208245063474;-0.00651556968435712;-0.006506205569689645;-0.006410614071902955
38;-0.006351605190908693;-0.00634037305966368;-0.006485179936753532;-0.006464648507390703;-0.006409877066891395
39;-0.006351605190908693;-0.006339208293219567;-0.00646859767515387;-0.006464648507390703;-0.006408985300439665
40;-0.006348158391379607;-0.006339208293219567;-0.006443799706252017;-0.006464648507390703;-0.006408985300439665
41;-0.006348158391379607;-0.006339208293219567;-0.0064253245202966925;-0.006464648507390703;-0.006408985300439665
42;-0.006348158391379607;-0.006337160734719967;-0.0064253245202966925;-0.006463517460622393;-0.006408985300439665
43;-0.006348158391379607;-0.006336084549895984;-0.006419341310381449;-0.006440977343588829;-0.006408985300439665
44;-0.006348158391379607;-0.006336084549895984;-0.006414020676684709;-0.0064096292858720925;-0.006408865583177729
45;-0.006348158391379607;-0.006335076927762301;-0.006413091725046651;-0.0064096292858720925;-0.006408865583177729
46;-0.006348066792667033;-0.006335076927762301;-0.0063993579739028625;-0.0064096292858720925;-0.006408865583177729
47;-0.006348066792667033;-0.006334940440102511;-0.006397116449324459;-0.006407734172178101;-0.006408865583177729
48;-0.006348066792667033;-0.006334940440102511;-0.006386598204379069;-0.006401819432686387;-0.006395344141662957
49;-0.006346424110501238;-0.006334101665289927;-0.006385406670001348;-0.006401380850325802;-0.006395344141662957
50;-0.006342489478492416;-0.0063329708925818256;-0.006369030977200484;-0.0063999220063771746;-0.006395344141662957
51;-0.006342489478492416;-0.0063329708925818256;-0.006369030977200484;-0.0063987649407796264;-0.0063947039741711655
52;-0.006342489478492416;-0.0063329708925818256;-0.00636252154028216;-0.00639856748066205;-0.0063947039741711655
53;-0.006340755596940237;-0.006332970379748582;-0.006360258718849014;-0.006396078452151722;-0.0063947039741711655
54;-0.006340755596940237;-0.006331198718249882;-0.006360258718849014;-0.006396078452151722;-0.006394344052784856
55;-0.006340755596940237;-0.006331197592651108;-0.0063592547234022434;-0.006394841825022072;-0.006392235418999389
56;-0.0063394124214583335;-0.00633071969780504;-0.0063590622490910294;-0.006391747906628319;-0.006392235418999389
57;-0.0063394124214583335;-0.00633071969780504;-0.0063590622490910294;-0.006385847375172883;-0.006390308724809963
58;-0.0063394124214583335;-0.00633071969780504;-0.0063590622490910294;-0.00638448334240404;-0.006390308724809963
59;-0.0063394124214583335;-0.006330655085224677;-0.006352526653176006;-0.00638448334240404;-0.006390308724809963
