Generations;0;1;2;3;4
0;-0.01818906428115211;-0.020603914083452562;-0.02004069295167909;-0.02133298975949321;-0.016421685503714846
1;-0.016637907192947294;-0.018138905635004324;-0.01596866890375852;-0.016202521065289202;-0.016421685503714846
2;-0.014842920741586786;-0.016452227061118346;-0.014605069849514662;-0.014747288992364748;-0.01554532289511618
3;-0.013287136914853179;-0.013481015715643635;-0.014349617041476517;-0.014038343113340124;-0.013332483198073711
4;-0.01241560266503894;-0.013481015715643635;-0.013131403819717025;-0.01358727492633452;-0.012890886410655035
5;-0.012281054337624369;-0.012918477452765873;-0.012558096560201211;-0.012700089133777372;-0.012480459270755398
6;-0.011198063929558294;-0.01207862620616665;-0.012323676071421681;-0.012277606259754876;-0.01162585305043397
7;-0.011198063929558294;-0.011728426475641414;-0.011737840281541278;-0.01135876528480985;-0.011420288239883482
8;-0.010490687690122236;-0.011503850724419154;-0.011604106768166282;-0.01135876528480985;-0.011093332340957373
9;-0.010490687690122236;-0.011356143238660472;-0.010586663007877084;-0.011231424047235643;-0.010598795614749301
10;-0.010445712288666946;-0.01099458978852597;-0.0103965793254407;-0.011086024521868814;-0.010297275316679665
11;-0.01026789342696404;-0.010796187568549812;-0.0103965793254407;-0.010935756726780927;-0.010289010808721005
12;-0.01026789342696404;-0.01061104416088766;-0.010202266710808663;-0.010553943921563764;-0.010217255023684417
13;-0.010085001547635652;-0.010550801483577201;-0.01019466846991725;-0.010379012277430474;-0.010217255023684417
14;-0.010085001547635652;-0.010242794491068786;-0.010134870297964355;-0.010379012277430474;-0.010171927970488132
15;-0.010085001547635652;-0.010028918592616358;-0.010134870297964355;-0.01032476314690394;-0.010140740911588855
16;-0.010085001547635652;-0.010028918592616358;-0.010131768897830557;-0.010160035748083563;-0.010132655002328364
17;-0.010035636233635245;-0.010028918592616358;-0.010089468128376746;-0.009964908596819167;-0.010053639711604712
18;-0.010035636233635245;-0.009970998239492606;-0.010039057690126574;-0.009964908596819167;-0.010040612653261453
19;-0.010035636233635245;-0.009970998239492606;-0.010018258492320123;-0.009843256847891906;-0.01002443079097901
20;-0.010035636233635245;-0.009933533229636965;-0.010018258492320123;-0.009843256847891906;-0.00990212210479995
21;-0.010033398891234387;-0.009933168073452667;-0.010018258492320123;-0.009840451688992887;-0.009896298635878818
22;-0.010033398891234387;-0.009933168073452667;-0.010014470735561009;-0.009813166032153884;-0.009780557911720012
23;-0.010016901132366716;-0.009926181611466993;-0.010010828206825194;-0.009695834165528877;-0.009749420509130784
24;-0.009983663490996199;-0.009926181611466993;-0.010005483831178785;-0.009695834165528877;-0.009723597134019046
25;-0.009983663490996199;-0.009921818869385162;-0.009973290697612396;-0.009684357724300423;-0.009717478180545216
26;-0.009983663490996199;-0.009908905073204452;-0.009963483596490439;-0.009684357724300423;-0.009717478180545216
27;-0.009979322494884557;-0.009883737904021956;-0.009957364439870438;-0.009678853390182365;-0.00971257270955687
28;-0.00996627925906658;-0.009868593742201604;-0.009957364439870438;-0.009666492096451236;-0.00971257270955687
29;-0.009951199025011955;-0.009868593742201604;-0.009957364439870438;-0.009666492096451236;-0.009692850169708883
30;-0.009951199025011955;-0.00983288881113816;-0.009956962156799242;-0.009663501166462243;-0.009692850169708883
31;-0.009951199025011955;-0.009831679628201405;-0.009955402384217877;-0.009652813383464295;-0.009692850169708883
32;-0.009938988982959633;-0.00981514421273283;-0.009953107848831638;-0.009647665600684259;-0.009692047571712138
33;-0.009938988982959633;-0.009805784000185185;-0.009951426647451076;-0.009647665600684259;-0.009692047571712138
34;-0.009938988982959633;-0.009796666444930139;-0.00994604772641207;-0.009630909484107974;-0.009692047571712138
35;-0.009938988982959633;-0.009794586971131515;-0.00994604772641207;-0.009630909484107974;-0.009672934828538456
36;-0.009938988982959633;-0.009794586971131515;-0.00994604772641207;-0.009630909484107974;-0.009672916970356731
37;-0.00985612783267809;-0.009770944102742108;-0.009913835761094114;-0.009627579806162382;-0.009672916970356731
38;-0.00981490575766558;-0.009770944102742108;-0.009913835761094114;-0.0096223387763541;-0.009672916970356731
39;-0.009792970527828227;-0.00976946423404892;-0.009913835761094114;-0.0096223387763541;-0.009672916970356731
40;-0.009752274036504738;-0.009756163638889903;-0.009913835761094114;-0.0096223387763541;-0.009672916970356731
41;-0.009752274036504738;-0.009756163638889903;-0.009909013726007202;-0.0096223387763541;-0.009672916970356731
42;-0.009734726542566807;-0.009755892666552544;-0.009909013726007202;-0.0096223387763541;-0.009670293699977982
43;-0.00972440557032239;-0.009752155354067928;-0.009901927356641827;-0.0096223387763541;-0.009670293699977982
44;-0.009697552550851123;-0.009752155354067928;-0.00990139645949312;-0.009617973146778203;-0.009670293699977982
45;-0.009697552550851123;-0.009745166557748031;-0.00990139645949312;-0.009617973146778203;-0.009668777128545601
46;-0.009696250766498944;-0.009743052607490513;-0.00989236899307585;-0.009616786981283272;-0.009660471534650722
47;-0.009696250766498944;-0.009729350357386849;-0.00989236899307585;-0.009616786981283272;-0.00965255219184176
48;-0.009696250766498944;-0.009696098430021526;-0.00989236899307585;-0.009616786981283272;-0.009651987778085819
49;-0.009696250766498944;-0.009685238977083994;-0.009827032162426842;-0.009616786981283272;-0.00964637623908975
50;-0.009696250766498944;-0.009685238977083994;-0.009827032162426842;-0.009616786981283272;-0.00964637623908975
51;-0.009696250766498944;-0.009681142826893368;-0.009827032162426842;-0.009616786981283272;-0.009644884587877116
52;-0.009696250766498944;-0.009681142826893368;-0.009819797774564041;-0.009615914195774131;-0.009644884587877116
53;-0.009696250766498944;-0.009681142826893368;-0.009805701850360823;-0.009615914195774131;-0.009642863066319602
54;-0.009696250766498944;-0.009681142826893368;-0.009805701850360823;-0.009615914195774131;-0.009642863066319602
55;-0.009677513660615793;-0.009681142826893368;-0.009805701850360823;-0.009615914195774131;-0.009642863066319602
56;-0.009677513660615793;-0.009680093642984403;-0.009797291535916427;-0.009615673771974378;-0.009642863066319602
57;-0.009674148596864466;-0.009680093642984403;-0.009796759491991722;-0.009615673771974378;-0.009642652164439752
58;-0.009674148596864466;-0.009680093642984403;-0.009796759491991722;-0.009600896606187428;-0.009642652164439752
59;-0.009674148596864466;-0.009679809839511453;-0.009776512641211868;-0.009600896606187428;-0.009640504629508129
