begin;end;id;id2;sampledSeconds;traveltime;overlapTraveltime;density;laneDensity;occupancy;waitingTime;timeLoss;speed;speedRelative;departed;arrived;entered;left;laneChangedFrom;laneChangedTo
0;2;dump;-E2;1;5,35;5,88;10;10;5;0;0,06;9,35;0,47;1;0;0;0;0;0
2;4;dump;-E2;2;5,03;5,54;20;20;10;0;0,01;9,93;0,5;0;0;0;0;0;0
4;6;dump;-E2;2;7,05;7,76;20;20;10;0;0,58;7,09;0,35;1;0;0;0;0;0
6;8;dump;-E2;4;11,68;12,85;40;40;20;1;2,29;4,28;0,21;0;0;0;0;0;0
6;8;dump;E0;1;9,53;10,48;10;10;5;0;0,48;5,25;0,26;1;0;0;0;0;0
8;10;dump;-E2;5;13,24;14,57;50;50;25;2;3,11;3,78;0,19;1;0;0;0;0;0
8;10;dump;E0;3;5,77;6,35;30;30;15;0;0,4;8,67;0,43;2;0;0;0;0;0
10;12;dump;-E2;6;14,26;15,68;60;60;30;2;3,9;3,51;0,18;0;0;0;0;0;0
10;12;dump;E0;6;6,32;6,95;60;60;30;0;1,25;7,92;0,4;0;0;0;0;0;0
12;14;dump;-E2;6;26,24;28,86;60;60;30;4;4,86;1,91;0,1;0;0;0;0;0;0
12;14;dump;E0;4,84;6,69;7,31;48,37;48,37;22,59;0;1,2;7,52;0,38;0;0;0;1;0;0
12;14;dump;link;1,79;11,17;11,72;8,93;8,93;3,67;0;0,19;8,96;0,45;0;0;1;0;0;0
14;16;dump;-E2;6;1079,01;1186,91;60;60;30;5;5,97;0,05;0;0;0;0;0;0;0
14;16;dump;E0;2,7;5,97;6,35;26,99;26,99;12,23;0;0,36;8,67;0,43;0;0;0;1;0;0
14;16;dump;link;3,79;11,04;11,59;18,97;18,97;8,86;0;0,36;9,06;0,45;0;0;1;0;0;0
16;18;dump;-E2;6;10066,97;11073,67;60;60;30;6;6;0;0;1;0;0;0;0;0
16;18;dump;E0;1,21;5,28;5,96;12,1;12,1;4,6;0;0,09;9,23;0,46;0;0;0;1;0;0
16;18;dump;link;5,34;12,35;12,97;26,69;26,69;12,67;0;1,02;8,1;0,4;0;0;1;0;0;0
18;20;dump;-E2;9;22,62;24,88;90;90;45;6;7,01;2,21;0,11;1;0;0;0;0;0
18;20;dump;E0;1;5,23;5,76;10;10;5;0;0,04;9,55;0,48;1;0;0;0;0;0
18;20;dump;link;6;11,4;11,97;30;30;15;0;0,74;8,77;0,44;0;0;0;0;0;0
20;22;dump;-E2;10;28,37;31,9;100;100;49,7;3;8,28;1,72;0,09;0;0;0;1;0;0
20;22;dump;-link;0,62;82,19;86,3;3,1;3,1;0,12;0;0,54;1,22;0,06;0;0;1;0;0;0
20;22;dump;E0;2;5,58;6,13;20;20;10;0;0,21;8,97;0,45;0;0;0;0;0;0
20;22;dump;link;6;11,59;12,17;30;30;15;0;0,82;8,63;0,43;0;0;0;0;0;0
22;24;dump;-E2;10,96;24,18;26,49;109,61;109,61;49,34;0;8,69;2,08;0,1;2;0;0;0;0;0
22;24;dump;-link;2;47,16;49,52;10;10;2,73;0;1,58;2,12;0,11;0;0;0;0;0;0
22;24;dump;E0;2;5,3;5,8;20;20;9,88;0;0,1;9,48;0,47;0;0;0;1;0;0
22;24;dump;E2;0,42;5,22;5,74;4,17;4,17;0,83;0;0,02;9,57;0,48;0;0;1;0;0;0
22;24;dump;link;6,14;11,35;11,84;30,72;30,72;14,62;0;0,7;8,87;0,44;0;0;1;1;0;0
24;26;dump;-E2;12;33,85;36,78;120;120;59,95;0;10,21;1,5;0,07;0;0;0;1;0;0
24;26;dump;-link;2,15;29,02;30,47;10,76;10,76;5,02;0;1,41;3,45;0,17;0;0;1;0;0;0
24;26;dump;E0;0,41;;6,5;4,09;4,09;0,71;0;0,06;8,46;0,42;0;0;0;0;0;0
24;26;dump;E2;2,42;5,4;5,94;24,22;24,22;10,72;0;0,18;9,26;0,46;0;0;1;0;0;0
24;26;dump;link;6,1;11,31;11,89;30,5;30,5;14,24;0;0,71;8,83;0,44;0;0;0;1;0;0
26;28;dump;-E2;11,3;27,65;27,52;113,03;113,03;52,8;0;9,04;2;0,1;0;0;0;0;0;0
26;28;dump;-link;4;25,32;26,59;20;20;8,53;0;2,42;3,95;0,2;0;0;0;0;0;0
26;28;dump;E0;1;6,07;6,68;10;10;5;0;0,18;8,24;0,41;1;0;0;0;0;0
26;28;dump;E2;4;5,32;5,85;40;40;19,91;0;0,24;9,4;0,47;0;0;0;0;0;0
26;28;dump;link;4,13;11,26;11,8;20,65;20,65;10,04;0;0,46;8,89;0,44;0;0;0;0;0;0
28;30;dump;-E2;10;23,09;24,59;100;100;49,25;0;7,76;2,24;0,11;1;0;0;1;0;0
28;30;dump;-link;4,65;20,75;21,79;23,26;23,26;10,34;0;2,41;4,82;0,24;0;0;1;0;0;0
28;30;dump;E0;2;5,67;6,24;20;20;10;0;0,24;8,81;0,44;0;0;0;0;0;0
28;30;dump;E2;4,99;5,56;6,15;49,94;49,94;21,99;0;0,53;8,95;0,45;0;1;1;0;0;0
28;30;dump;link;3,24;12,2;12,72;16,22;16,22;7,4;0;0,57;8,25;0,41;0;0;0;1;0;0
30;32;dump;-E2;10,63;20,27;21,28;106,31;106,31;50,89;0;7,88;2,59;0,13;0;0;0;0;0;0
30;32;dump;-link;6;16,07;16,87;30;30;14,52;0;2,27;6,22;0,31;0;0;0;0;0;0
30;32;dump;E0;2;5,71;6,28;20;20;10;0;0,25;8,75;0,44;0;0;0;0;0;0
30;32;dump;E2;3;5,46;5,98;30;30;14,88;0;0,24;9,19;0,46;0;1;0;0;0;0
30;32;dump;link;2;11,72;12,31;10;10;5;0;0,29;8,53;0,43;0;0;0;0;0;0
32;34;dump;-E2;8,98;15,9;16,33;89,85;89,85;42,55;0;5,96;3,37;0,17;1;0;0;1;0;0
32;34;dump;-link;7,95;14,99;15,74;39,73;39,73;18,68;0;2,65;6,67;0,33;0;0;1;0;0;0
32;34;dump;E0;0,73;5,6;6,16;7,3;7,3;2,25;0;0,08;8,94;0,45;1;0;0;1;0;0
32;34;dump;E2;2;6,07;6,68;20;20;10;0;0,35;8,24;0,41;0;0;0;0;0;0
32;34;dump;link;3,82;10,91;11,46;19,09;19,09;8,85;0;0,32;9,17;0,46;0;0;1;0;0;0
34;36;dump;-E2;9,29;15,19;15,48;92,92;92,92;44,49;0;5,99;3,55;0,18;0;0;0;1;0;0
34;36;dump;-link;9,48;12,42;13,04;47,38;47,38;22,71;0;1,84;8,05;0,4;0;0;1;0;0;0
34;36;dump;E0;2;7,69;8,46;20;20;10;0;0,7;6,5;0,32;1;0;0;0;0;0
34;36;dump;E2;1,95;5,09;5,58;19,54;19,54;7,24;0;0,03;9,86;0,49;0;1;1;0;0;0
34;36;dump;link;3,42;11,27;11,66;17,12;17,12;7,92;0;0,34;9,01;0,45;0;0;0;1;0;0
36;38;dump;-E0;0,38;5,11;5,63;3,76;3,76;0,69;0;0,01;9,78;0,49;0;0;1;0;0;0
36;38;dump;-E2;7,68;10,7;11,34;76,84;76,84;36,53;0;3,96;4,85;0,24;1;0;0;1;0;0
36;38;dump;-link;11,07;11,99;12,51;55,37;55,37;26,33;0;1,78;8,39;0,42;0;0;1;1;0;0
36;38;dump;E0;4;6,56;7,22;40;40;20;0;0,95;7,62;0,38;0;0;0;0;0;0
36;38;dump;E2;2;6,14;6,75;20;20;10;0;0,37;8,14;0,41;0;0;0;0;0;0
36;38;dump;link;2;10,46;10,98;10;10;5;0;0,09;9,56;0,48;0;0;0;0;0;0
38;40;dump;-E0;2;5,1;5,6;20;20;9,91;0;0,04;9,81;0,49;0;0;0;0;0;0
38;40;dump;-E2;8;10,81;11,32;80;80;38,84;0;4,11;4,86;0,24;0;0;0;1;0;0
38;40;dump;-link;10,65;12,09;12,66;53,25;53,25;25,59;0;1,82;8,29;0,41;0;0;1;0;0;0
38;40;dump;E0;3,95;5,36;5,9;39,48;39,48;18,4;0;0,26;9,33;0,47;0;0;0;1;0;0
38;40;dump;E2;2;5,43;5,97;20;20;10;0;0,16;9,21;0,46;0;0;0;0;0;0
38;40;dump;link;2,58;11,64;12,22;12,89;12,89;5,77;0;0,36;8,59;0,43;0;0;1;0;0;0
40;42;dump;-E0;3,15;5,45;5,99;31,49;31,49;14,29;0;0,26;9,18;0,46;0;0;1;0;0;0
40;42;dump;-E2;7,1;9,16;9,83;70,96;70,96;34,59;0;3,13;5,6;0,28;1;0;0;1;0;0
40;42;dump;-link;11,77;12,4;13,01;58,84;58,84;28,01;0;2,27;8,07;0,4;0;0;1;1;0;0
40;42;dump;E0;3;10,3;11,33;30;30;15;0;1,54;4,85;0,24;1;0;0;0;0;0
40;42;dump;E2;0,98;5;5,5;9,77;9,77;3,63;0;0;9,99;0,5;0;1;0;0;0;0
40;42;dump;link;4;11,53;12,11;20;20;10;0;0,53;8,67;0,43;0;0;0;0;0;0
42;44;dump;-E0;3;5,95;6,45;30;30;14,61;0;0,44;8,53;0,43;0;1;0;0;0;0
42;44;dump;-E2;6,47;8,13;9,08;64,69;64,69;30,44;0;2,55;6,05;0,3;0;0;0;1;0;0
42;44;dump;-link;12,18;15,03;15,78;60,91;60,91;29,75;0;4,08;6,65;0,33;0;0;1;0;0;0
42;44;dump;E0;5;22,69;24,95;50;50;25;0;3,9;2,2;0,11;1;0;0;0;0;0
42;44;dump;E2;0,24;6,44;7,08;2,36;2,36;0,22;0;0,05;7,77;0,39;0;0;1;0;0;0
42;44;dump;link;4;10,83;11,49;20;20;9,88;0;0,34;9,14;0,46;0;0;0;1;0;0
44;46;dump;-E0;2;5,73;6,31;20;20;10;0;0,26;8,72;0,44;0;0;0;0;0;0
44;46;dump;-E2;4,64;6,32;7,18;46,38;46,38;21,24;0;1,08;7,66;0,38;0;0;0;0;0;0
44;46;dump;-link;14;19,4;20,37;70;70;34,35;0;6,78;5,15;0,26;0;0;0;0;0;0
44;46;dump;E0;6;13,82;15,2;60;60;30;1;3,83;3,62;0,18;0;0;0;0;0;0
44;46;dump;E2;2;6,29;6,92;20;20;9,4;0;0,41;7,95;0,4;0;0;0;0;0;0
44;46;dump;link;2,37;10,62;11,35;11,84;11,84;5,28;0;0,18;9,25;0,46;0;0;0;0;0;0
46;48;dump;-E0;1;6,54;7,2;10;10;5;0;0,24;7,64;0,38;0;1;0;0;0;0
46;48;dump;-E2;2,78;5,57;6,19;27,8;27,8;12,44;0;0,31;8,89;0,44;0;0;0;1;0;0
46;48;dump;-link;15,79;24,51;25,74;78,96;78,96;38,75;3;9,35;4,08;0,2;0;0;1;0;0;0
