timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;270.00;test0;-E2_0;5.10;0.00;8.91;test;144.90;1.60
1.00;270.00;test0;-E2_0;14.45;0.00;9.35;test;135.55;1.60
2.00;270.00;f2.0;-E2_0;5.10;0.00;7.12;CarA;144.90;1.60
2.00;270.00;test0;-E2_0;24.45;0.00;10.00;test;125.55;1.60
3.00;270.00;f2.0;-E2_0;14.10;0.00;9.00;CarA;135.90;1.60
3.00;270.00;test0;-E2_0;34.32;0.00;9.87;test;115.68;1.60
4.00;270.00;f2.0;-E2_0;23.25;0.00;9.14;CarA;126.75;1.60
4.00;270.00;test0;-E2_0;44.15;0.00;9.83;test;105.85;1.60
5.00;270.00;f2.0;-E2_0;30.49;0.00;7.25;CarA;119.51;1.60
5.00;270.00;test0;-link_0;3.70;0.00;9.65;test;96.30;1.60
6.00;270.00;f2.0;-E2_0;39.30;0.00;8.81;CarA;110.70;1.60
6.00;270.00;test0;-link_0;13.52;0.00;9.82;test;86.48;1.60
7.00;270.00;f2.0;-E2_0;46.89;0.00;7.60;CarA;103.11;1.60
7.00;270.00;test0;-link_0;23.29;0.00;9.76;test;76.71;1.60
8.00;270.00;f2.0;-link_0;6.47;0.00;9.67;CarA;93.53;1.60
8.00;270.00;test0;-link_0;33.21;0.00;9.92;test;66.79;1.60
9.00;90.00;f1.0;E0_0;5.10;0.00;0.45;CarA;-44.90;-1.60
9.00;270.00;f2.0;-link_0;14.71;0.00;8.24;CarA;85.29;1.60
9.00;270.00;test0;-link_0;43.18;0.00;9.97;test;56.82;1.60
10.00;90.00;f1.0;E0_0;10.35;0.00;5.25;CarA;-39.65;-1.60
10.00;270.00;f2.0;-link_0;23.01;0.00;8.31;CarA;76.99;1.60
10.00;270.00;test0;-link_0;53.10;0.00;9.92;test;46.90;1.60
11.00;90.00;f1.0;E0_0;18.93;0.00;8.58;CarA;-31.07;-1.60
11.00;90.00;f1.1;E0_0;5.10;0.00;5.90;CarC;-44.90;-1.60
11.00;270.00;f2.0;-link_0;32.77;0.00;9.76;CarA;67.23;1.60
11.00;270.00;test0;-link_0;62.80;0.00;9.70;test;37.20;1.60
12.00;90.00;f1.0;E0_0;28.83;0.00;9.90;CarA;-21.17;-1.60
12.00;90.00;f1.1;E0_0;12.61;0.00;7.51;CarC;-37.39;-1.60
12.00;270.00;f2.0;-link_0;42.71;0.00;9.94;CarA;57.29;1.60
12.00;270.00;test0;-link_0;72.49;0.00;9.69;test;27.51;1.60
13.00;90.00;f1.0;E0_0;38.52;0.00;9.68;CarA;-11.48;-1.60
13.00;90.00;f1.1;E0_0;22.01;0.00;9.40;CarC;-27.99;-1.60
13.00;270.00;f2.0;-link_0;50.32;0.00;7.61;CarA;49.68;1.60
13.00;270.00;test0;-link_0;82.11;0.00;9.62;test;17.89;1.60
14.00;90.00;f1.0;E0_0;46.64;0.00;8.13;CarA;-3.36;-1.60
14.00;90.00;f1.1;E0_0;31.80;0.00;9.79;CarC;-18.20;-1.60
14.00;270.00;f2.0;-link_0;59.21;0.00;8.89;CarA;40.79;1.60
14.00;270.00;test0;-link_0;91.80;0.00;9.69;test;8.20;1.60
15.00;90.00;f1.0;link_0;5.87;0.00;9.33;CarA;5.87;-1.60
15.00;90.00;f1.1;E0_0;40.03;0.00;8.23;CarC;-9.97;-1.60
15.00;270.00;f2.0;-link_0;67.43;0.00;8.22;CarA;32.57;1.60
15.00;270.00;test0;-E0_0;1.50;0.00;9.79;test;-1.50;1.60
16.00;90.00;f1.0;link_0;15.69;0.00;9.82;CarA;15.69;-1.60
16.00;90.00;f1.1;E0_0;48.13;0.00;8.10;CarC;-1.87;-1.60
16.00;270.00;f2.0;-link_0;76.82;0.00;9.39;CarA;23.18;1.60
16.00;270.00;test0;-E0_0;11.32;0.00;9.82;test;-11.32;1.60
17.00;90.00;f1.0;link_0;24.83;0.00;9.14;CarA;24.83;-1.60
17.00;90.00;f1.1;link_0;6.87;0.00;8.85;CarC;6.87;-1.60
17.00;270.00;f2.0;-link_0;85.38;0.00;8.56;CarA;14.62;1.60
17.00;270.00;test0;-E0_0;21.12;0.00;9.80;test;-21.12;1.60
18.00;90.00;f1.0;link_0;32.48;0.00;7.65;CarA;32.48;-1.60
18.00;90.00;f1.1;link_0;16.62;0.00;9.75;CarC;16.62;-1.60
18.00;270.00;f2.0;-link_0;93.52;0.00;8.15;CarA;6.48;1.60
18.00;270.00;test0;-E0_0;31.11;0.00;9.99;test;-31.11;1.60
19.00;90.00;f1.0;link_0;40.45;0.00;7.97;CarA;40.45;-1.60
19.00;90.00;f1.1;link_0;24.20;0.00;7.57;CarC;24.20;-1.60
19.00;270.00;f2.0;-E0_0;1.14;0.00;7.72;CarA;-1.14;1.60
19.00;270.00;test0;-E0_0;40.84;0.00;9.73;test;-40.84;1.60
