begin;end;id;id2;sampledSeconds;traveltime;overlapTraveltime;density;laneDensity;occupancy;waitingTime;timeLoss;speed;speedRelative;departed;arrived;entered;left;laneChangedFrom;laneChangedTo
0;2;dump;-E2;1;5,35;5,88;10;10;5;0;0,06;9,35;0,47;1;0;0;0;0;0
2;4;dump;-E2;3;5,2;5,71;30;30;15;0;0,11;9,62;0,48;1;0;0;0;0;0
4;6;dump;-E2;4;5,62;6,13;40;40;19,25;0;0,41;8,97;0,45;0;0;0;1;0;0
4;6;dump;-link;0,38;10,36;10,88;1,92;1,92;0,35;0;0,01;9,65;0,48;0;0;1;0;0;0
6;8;dump;-E2;2,12;6,1;6,63;21,22;21,22;10,07;0;0,36;8,29;0,41;0;0;0;0;0;0
6;8;dump;-link;2;10,21;10,72;10;10;4,96;0;0,04;9,79;0,49;0;0;0;0;0;0
8;10;dump;-E2;0,84;5,17;5,69;8,38;8,38;2,9;0;0,03;9,67;0,48;0;0;0;1;0;0
8;10;dump;-link;3,67;10,6;11,13;18,34;18,34;8,53;0;0,21;9,43;0,47;0;0;1;0;0;0
8;10;dump;E0;0;;;;;;;;;;1;0;0;0;0;0
10;12;dump;-link;4;10,61;11,15;20;20;10;0;0,23;9,42;0,47;0;0;0;0;0;0
10;12;dump;E0;2;7,23;7,95;20;20;10;0;0,62;6,92;0,35;1;0;0;0;0;0
12;14;dump;-link;4;10,85;11,39;20;20;10;0;0,31;9,22;0,46;0;0;0;0;0;0
12;14;dump;E0;4;5,48;6,03;40;40;20;0;0,35;9,12;0,46;0;0;0;0;0;0
14;16;dump;-E0;0,15;5,1;5,62;1,53;1,53;0,11;0;0;9,79;0,49;0;0;1;0;0;0
14;16;dump;-link;4;10,96;11,48;20;20;9,93;0;0,34;9,15;0,46;0;0;0;1;0;0
14;16;dump;E0;3,9;5,69;6,21;38,96;38,96;18,14;0;0,45;8,86;0,44;0;0;0;1;0;0
14;16;dump;link;0,63;10,72;11,26;3,15;3,15;0,9;0;0,04;9,33;0,47;0;0;1;0;0;0
16;18;dump;-E0;2;5,1;5,6;20;20;9,38;0;0,04;9,81;0,49;0;0;0;0;0;0
16;18;dump;-link;2,35;11,14;11,54;11,73;11,73;5,29;0;0,21;9,1;0,45;0;0;0;0;0;0
16;18;dump;E0;1,78;6,07;6,53;17,77;17,77;7,47;0;0,28;8,43;0,42;0;0;0;1;0;0
16;18;dump;link;2,78;10,75;11,29;13,88;13,88;6,24;0;0,19;9,3;0,47;0;0;1;0;0;0
18;20;dump;-E0;2,15;5,15;5,66;21,48;21,48;10,08;0;0,06;9,71;0,49;0;0;1;0;0;0
18;20;dump;-link;2;12,58;13,24;10;10;4,95;0;0,41;7,93;0,4;0;0;0;1;0;0
18;20;dump;link;4;12,14;12,75;20;20;10;0;0,71;8,24;0,41;0;0;0;0;0;0
20;22;dump;-E0;3;5,77;6,33;30;30;14,08;0;0,39;8,69;0,43;0;1;0;0;0;0
20;22;dump;-link;0,46;;12,76;2,28;2,28;0,43;0;0,08;8,23;0,41;0;0;0;0;0;0
20;22;dump;E0;0;;;;;;;;;;1;0;0;0;0;0
20;22;dump;link;4;11,18;11,73;20;20;10;0;0,42;8,95;0,45;0;0;0;0;0;0
