Generations;0;1;2;3;4
0;-0.014243518680406186;-0.013439894305232375;-0.013311581516660943;-0.012990579304912653;-0.014340420678086965
1;-0.012952664192851881;-0.012885624135169702;-0.012164522141121986;-0.012990579304912653;-0.013536206377563703
2;-0.012676549587850305;-0.012254404260990785;-0.012164522141121986;-0.012737613812164332;-0.012502810576957723
3;-0.01224852854798045;-0.012205773997111938;-0.012162675444470274;-0.012142893345297284;-0.012502810576957723
4;-0.012230930410195549;-0.012050403009682855;-0.012162675444470274;-0.01211410125745855;-0.012141346274058027
5;-0.012139641704246928;-0.012050403009682855;-0.01206010912833317;-0.012109926270050407;-0.012141346274058027
6;-0.012139641704246928;-0.012050403009682855;-0.012035668842799779;-0.012050278348806205;-0.012094585556333281
7;-0.012061397009460517;-0.012029232366771093;-0.011996483135211096;-0.012016063519570139;-0.012094585556333281
8;-0.012061397009460517;-0.012029232366771093;-0.011996483135211096;-0.012016063519570139;-0.012091107956896658
9;-0.01204555414582947;-0.011992683707379274;-0.011996483135211096;-0.011973963307666233;-0.012090356958798718
10;-0.01204555414582947;-0.011992683707379274;-0.011996483135211096;-0.011973963307666233;-0.012052131939883392
11;-0.01204555414582947;-0.011950599106187492;-0.01198331239634037;-0.01196080909956357;-0.012052131939883392
12;-0.012020039153864417;-0.011950599106187492;-0.011974843867710278;-0.011946542536797167;-0.01200536627627815
13;-0.012018559680204495;-0.011947491768126468;-0.011974843867710278;-0.011946542536797167;-0.01200536627627815
14;-0.011985672173544584;-0.011947052026571025;-0.011959156440869336;-0.011946097891837437;-0.01200536627627815
15;-0.011976786626448207;-0.011946831124616027;-0.011949727586748024;-0.01194406285372342;-0.01200536627627815
16;-0.011976786626448207;-0.011942936753888014;-0.011949221604812781;-0.011942986140050838;-0.011997006768624004
17;-0.011972193148546112;-0.011939908989930732;-0.011947789205789278;-0.011941698370370547;-0.011983104451042517
18;-0.011972193148546112;-0.011938018805930343;-0.011946700453078206;-0.011941633965645923;-0.011980167931597731
19;-0.011972193148546112;-0.01193757186216416;-0.01194565855892284;-0.011941633965645923;-0.011949115904663353
20;-0.011972193148546112;-0.011936405814497281;-0.01194565855892284;-0.011941633965645923;-0.011947221925282536
21;-0.011971901616070459;-0.011936405814497281;-0.011945004417996655;-0.011941633965645923;-0.011943103828175873
22;-0.011969682587234165;-0.011935760306189574;-0.011945004417996655;-0.01194163274367227;-0.011943103828175873
23;-0.011968828200069675;-0.011934981546933138;-0.011945004417996655;-0.01194163274367227;-0.011943103828175873
24;-0.011968828200069675;-0.01193284788778361;-0.011945004417996655;-0.011941540401456192;-0.011943094982192927
25;-0.01196774260906027;-0.0119324957514403;-0.011945004417996655;-0.011941540401456192;-0.011943094982192927
26;-0.011951724048333468;-0.0119324957514403;-0.011945004417996655;-0.011941532594745665;-0.011943094982192927
27;-0.011951056098037384;-0.011932023715540096;-0.011944931489615262;-0.011941530446087863;-0.011939483350070047
28;-0.011950559397189892;-0.011932023715540096;-0.011944931489615262;-0.011941530446087863;-0.011939469004979759
29;-0.011948998598610941;-0.011931873608181445;-0.011944262990982809;-0.011941530446087863;-0.011939469004979759
30;-0.011948998598610941;-0.011931873608181445;-0.011942270329090132;-0.01194140749982528;-0.011939467203411557
31;-0.01194727982075169;-0.011931871245640886;-0.01194098383824979;-0.01194140749982528;-0.011939467203411557
32;-0.011942925792950391;-0.011931871245640886;-0.011940142902578995;-0.011937024276307471;-0.011939467203411557
33;-0.011942925792950391;-0.011931862944431248;-0.011938684770809881;-0.011937007701927045;-0.011939467203411557
34;-0.011942925792950391;-0.011931862654952047;-0.011938684770809881;-0.011936996516507613;-0.011937353512625462
35;-0.011942925792950391;-0.01193179895908809;-0.01193864129301466;-0.011936996516507613;-0.011937353512625462
36;-0.011941181309729064;-0.01193179895908809;-0.01193864129301466;-0.011936933948857677;-0.011937292241607307
37;-0.01193828025907917;-0.011931741364790492;-0.01193864129301466;-0.011936906899859014;-0.011937292241607307
38;-0.01193828025907917;-0.011931741364790492;-0.01193860129202922;-0.011936899846685986;-0.011937292241607307
39;-0.01193828025907917;-0.011931741364790492;-0.01193860129202922;-0.01193644165430427;-0.011937282777152353
40;-0.01193828025907917;-0.011931591387272058;-0.011938432853567204;-0.011936275340893317;-0.011937282777152353
41;-0.011937733541310487;-0.011931584946878153;-0.011938363813640907;-0.011935390548065727;-0.011936493140957339
42;-0.011937733541310487;-0.011931584946878153;-0.011936665898352945;-0.011935390548065727;-0.011936274501541883
43;-0.011937733541310487;-0.01193157173756192;-0.011936583756490203;-0.011935390548065727;-0.011936274501541883
44;-0.011937733541310487;-0.011931570431601264;-0.011936583756490203;-0.011935390548065727;-0.011936274501541883
45;-0.011937733541310487;-0.011931570431601264;-0.011936562901791218;-0.011935332138554721;-0.011934841417859847
46;-0.011937733541310487;-0.011931570040403258;-0.01193636700698358;-0.011934721575861292;-0.011934569537485677
47;-0.01193702477470504;-0.011931564347173034;-0.011935604458088625;-0.011934505680442744;-0.011934569537485677
48;-0.01193702477470504;-0.011931564347173034;-0.011935481431813428;-0.011934505680442744;-0.011934569537485677
49;-0.01193698078662495;-0.011931564347173034;-0.011934236256010332;-0.011934491328670818;-0.011934495455879995
50;-0.011936787398561419;-0.011931564347173034;-0.011934186939567288;-0.011934491328670818;-0.011934495455879995
51;-0.011936787398561419;-0.011931561034299437;-0.011933607466183702;-0.011934491328670818;-0.011934495455879995
52;-0.011936424666054936;-0.011931561034299437;-0.011933498936688559;-0.011934491328670818;-0.011934495455879995
53;-0.011935905309274374;-0.011931561034299437;-0.011933498651444906;-0.011934486571984692;-0.011934473642457994
54;-0.011935905309274374;-0.011931561034299437;-0.011933383310456293;-0.011934463931106976;-0.011934473642457994
55;-0.01193590297621988;-0.011931561034299437;-0.01193334260855657;-0.011934134403909811;-0.011934462015454153
56;-0.011935846763680424;-0.011931561034299437;-0.01193334260855657;-0.011933979147187839;-0.011934200130273508
57;-0.011934893736187361;-0.011931561034299437;-0.011933333677462684;-0.011932442992575476;-0.011934200130273508
