Generations;0;1;2;3;4
0;-0.008152559126126835;-0.004515625399800392;-0.006396143007027797;-0.0051278922304997835;-0.007861494570076778
1;-0.005984032135564353;-0.004515625399800392;-0.006396143007027797;-0.003908895192539026;-0.007814491365966738
2;-0.005415599111028609;-0.004000709413835921;-0.005012077286191064;-0.003908895192539026;-0.004515664329694574
3;-0.004380485746425603;-0.004000709413835921;-0.004429372007413954;-0.0035656463960783134;-0.004515664329694574
4;-0.004380485746425603;-0.002810557320893288;-0.0041996237497902884;-0.0035656463960783134;-0.0041280603172916645
5;-0.004380485746425603;-0.002810557320893288;-0.0041996237497902884;-0.0035656463960783134;-0.004009448326379274
6;-0.0038301664446530465;-0.0027183475944379475;-0.003957883468898415;-0.0035656463960783134;-0.004009448326379274
7;-0.0038301664446530465;-0.0027183475944379475;-0.003346413680368383;-0.0035656463960783134;-0.003740206430033483
8;-0.003685272410519345;-0.0027183475944379475;-0.003346413680368383;-0.0035656463960783134;-0.003740206430033483
9;-0.003685272410519345;-0.002636484114149876;-0.003346413680368383;-0.0034770155143542636;-0.0033098166476306927
10;-0.003685272410519345;-0.002636484114149876;-0.003007564017462026;-0.003291225667200401;-0.0033098166476306927
11;-0.003534610435937234;-0.002636484114149876;-0.003007564017462026;-0.0032796053977096813;-0.0032805438254485527
12;-0.003534610435937234;-0.002636484114149876;-0.003007564017462026;-0.0030225441929141064;-0.003250254758869735
13;-0.0028092408339668406;-0.002636484114149876;-0.003007564017462026;-0.0030225441929141064;-0.0030995738872622767
14;-0.0028092408339668406;-0.002636484114149876;-0.003007564017462026;-0.0030225441929141064;-0.002926706464355969
15;-0.0028092408339668406;-0.002636484114149876;-0.003007564017462026;-0.0030225441929141064;-0.002926706464355969
16;-0.002602794077819833;-0.002636484114149876;-0.003007564017462026;-0.0027050644013629113;-0.002926706464355969
17;-0.002602794077819833;-0.0023468876973072182;-0.002743327170247719;-0.002419339894135907;-0.002926706464355969
18;-0.002602794077819833;-0.0023468876973072182;-0.002743327170247719;-0.002419339894135907;-0.0028313369557133035
19;-0.002602794077819833;-0.0021836090560649443;-0.002743327170247719;-0.002419339894135907;-0.0028313369557133035
20;-0.002602794077819833;-0.0021836090560649443;-0.002743327170247719;-0.002419339894135907;-0.002506372026680968
21;-0.0025683533418742344;-0.0021836090560649443;-0.002743327170247719;-0.002419339894135907;-0.002506372026680968
22;-0.0023495617164002594;-0.0021836090560649443;-0.002743327170247719;-0.002419339894135907;-0.002506372026680968
23;-0.0023495617164002594;-0.0021836090560649443;-0.002733975710357053;-0.002419339894135907;-0.0020494896067646076
24;-0.0023495617164002594;-0.0021836090560649443;-0.002733975710357053;-0.002419339894135907;-0.0020494896067646076
25;-0.0023495617164002594;-0.0021836090560649443;-0.002733975710357053;-0.0022884454438700332;-0.0020494896067646076
26;-0.0023495617164002594;-0.0021836090560649443;-0.0025199401187024355;-0.0022884454438700332;-0.0020494896067646076
27;-0.0023495617164002594;-0.0021836090560649443;-0.0025199401187024355;-0.0022884454438700332;-0.0020494896067646076
28;-0.0023495617164002594;-0.0021773840549737236;-0.0025199401187024355;-0.0022884454438700332;-0.0020494896067646076
29;-0.0023495617164002594;-0.0021773840549737236;-0.0025199401187024355;-0.0022884454438700332;-0.0020494896067646076
30;-0.0023495617164002594;-0.0021773840549737236;-0.0025199401187024355;-0.0022884454438700332;-0.0020494896067646076
31;-0.0023495617164002594;-0.0021773840549737236;-0.0025199401187024355;-0.00225024743466624;-0.0020494896067646076
32;-0.0023495617164002594;-0.0021773840549737236;-0.0023876497732584897;-0.00225024743466624;-0.0020494896067646076
33;-0.0023155014526731947;-0.0021773840549737236;-0.0023876497732584897;-0.00225024743466624;-0.0020494896067646076
34;-0.0022929956918955777;-0.0021773840549737236;-0.0023171944455264337;-0.00225024743466624;-0.0020494896067646076
35;-0.0022929956918955777;-0.0021773840549737236;-0.002240742645429477;-0.00225024743466624;-0.0020494896067646076
36;-0.0022929956918955777;-0.0021773840549737236;-0.002240742645429477;-0.00225024743466624;-0.0020494896067646076
