EXP;SimulationFolder;Scenario;ProbeID;Timestamp;Free Flow Speed [m/sec];Jam Density;BestRHO_C;RMSE;MAE;Simulation Type
88;Scenario-5_test5_324-334;Scenario-5;test5;324-334;10;0.15;0.0396544144;0.013464920292160835;0.009969452300252344;partial
89;Scenario-5_test6_370-380;Scenario-5;test6;370-380;10;0.15;0.0396544144;0.008975996243122735;0.006953579277024816;partial
90;Scenario-5_test7_430-440;Scenario-5;test7;430-440;10;0.15;0.0396544144;0.013224134824523004;0.010011276567739749;partial
91;Scenario-5_test8_500-509;Scenario-5;test8;500-509;10;0.15;0.0396544144;0.011581344797625551;0.00846615956487844;partial
92;Scenario-5_test9_572-583;Scenario-5;test9;572-583;10;0.15;0.0396544144;0.0093771172998616;0.006438837089259378;partial
93;Scenario-6_test0_21-36;Scenario-6;test0;21-36;10;0.15;0.0396544144;0.014715108972013639;0.011068242689924155;partial
94;Scenario-6_test10_766-799;Scenario-6;test10;766-799;10;0.15;0.0396544144;0.011648946292391958;0.008195517631783326;partial
95;Scenario-6_test11_827-854;Scenario-6;test11;827-854;10;0.15;0.0396544144;0.010629738420909866;0.007682168157546451;partial
96;Scenario-6_test12_891-922;Scenario-6;test12;891-922;10;0.15;0.0396544144;0.010355117463114731;0.00833870764537508;partial
97;Scenario-6_test13_955-982;Scenario-6;test13;955-982;10;0.15;0.0396544144;0.010877144847999445;0.008969200159717096;partial
98;Scenario-6_test14_1048-1080;Scenario-6;test14;1048-1080;10;0.15;0.0396544144;0.011175424785230247;0.007754939077736482;partial
99;Scenario-6_test15_1133-1162;Scenario-6;test15;1133-1162;10;0.15;0.0396544144;0.009179329405592915;0.007222419030471263;partial
100;Scenario-6_test1_112-144;Scenario-6;test1;112-144;10;0.15;0.0396544144;0.010527463742165542;0.008199108105635445;partial
101;Scenario-6_test2_201-217;Scenario-6;test2;201-217;10;0.15;0.0396544144;0.01045767349799308;0.008095745958739057;partial
102;Scenario-6_test3_280-314;Scenario-6;test3;280-314;10;0.15;0.0396544144;0.01153078660387703;0.008168445188139428;partial
103;Scenario-6_test4_341-373;Scenario-6;test4;341-373;10;0.15;0.0396544144;0.013321786194123681;0.009161115222913843;partial
104;Scenario-6_test5_408-439;Scenario-6;test5;408-439;10;0.15;0.0396544144;0.0134313576789983;0.010629179592351976;partial
105;Scenario-6_test6_478-508;Scenario-6;test6;478-508;10;0.15;0.0396544144;0.011024243823097336;0.00936117247122543;partial
106;Scenario-6_test7_568-600;Scenario-6;test7;568-600;10;0.15;0.0396544144;0.011953486879400923;0.009519991482438867;partial
107;Scenario-6_test8_646-680;Scenario-6;test8;646-680;10;0.15;0.0396544144;0.011552577129331056;0.009154418986549605;partial
108;Scenario-6_test9_709-739;Scenario-6;test9;709-739;10;0.15;0.0396544144;0.00993859764468989;0.007249237572655903;partial
109;Scenario-7_test0_5-14;Scenario-7;test0;5-14;10;0.15;0.0396544144;0.0012500000000000005;0.0002500000000000001;partial
110;Scenario-7_test10_608-618;Scenario-7;test10;608-618;10;0.15;0.0396544144;0.004511829365690636;0.0026552936959999994;partial
111;Scenario-7_test11_672-682;Scenario-7;test11;672-682;10;0.15;0.0396544144;0.008205309603167683;0.005471495888109053;partial
112;Scenario-7_test12_727-736;Scenario-7;test12;727-736;10;0.15;0.0396544144;0.01328495397551289;0.007886368044874748;partial
113;Scenario-7_test13_785-795;Scenario-7;test13;785-795;10;0.15;0.0396544144;0.013025898385925569;0.005777152746494228;partial
114;Scenario-7_test14_851-861;Scenario-7;test14;851-861;10;0.15;0.0396544144;0.010573672162631996;0.007256068783019681;partial
115;Scenario-7_test15_906-915;Scenario-7;test15;906-915;10;0.15;0.0396544144;0.010698970781413979;0.007610888586055256;partial
116;Scenario-7_test16_966-976;Scenario-7;test16;966-976;10;0.15;0.0396544144;0.009650889723244004;0.007560587392;partial
117;Scenario-7_test17_1027-1037;Scenario-7;test17;1027-1037;10;0.15;0.0396544144;0.010551303846621216;0.008174588282703536;partial
118;Scenario-7_test18_1085-1095;Scenario-7;test18;1085-1095;10;0.15;0.0396544144;0.007109048249874806;0.004741470272000002;partial
119;Scenario-7_test19_1145-1154;Scenario-7;test19;1145-1154;10;0.15;0.0396544144;0.0057282196186948;0.0032500000000000003;partial
120;Scenario-7_test1_67-76;Scenario-7;test1;67-76;10;0.15;0.0396544144;0.007539485084584462;0.0046717526510301755;partial
121;Scenario-7_test2_129-138;Scenario-7;test2;129-138;10;0.15;0.0396544144;0.009852775301287581;0.006232940544000001;partial
122;Scenario-7_test3_185-194;Scenario-7;test3;185-194;10;0.15;0.0396544144;0.00255239074448921;0.0008276468479999997;partial
123;Scenario-7_test4_248-258;Scenario-7;test4;248-258;10;0.15;0.0396544144;0.005937815515495526;0.0044229840988871515;partial
124;Scenario-7_test5_305-314;Scenario-7;test5;305-314;10;0.15;0.0396544144;0.009682458365518546;0.005000000000000003;partial
125;Scenario-7_test6_365-374;Scenario-7;test6;365-374;10;0.15;0.0396544144;0.01313284145801842;0.009865587089299344;partial
126;Scenario-7_test7_427-436;Scenario-7;test7;427-436;10;0.15;0.0396544144;0.009661456704673324;0.005163823424;partial
127;Scenario-7_test8_486-496;Scenario-7;test8;486-496;10;0.15;0.0396544144;0.010656032745282706;0.007182954706979499;partial
128;Scenario-7_test9_552-562;Scenario-7;test9;552-562;10;0.15;0.0396544144;0.007227250686142872;0.0038816544726496573;partial
129;Scenario-8_test0_21-37;Scenario-8;test0;21-37;10;0.15;0.0396544144;0.014294040136852244;0.009501440116146067;partial
130;Scenario-8_test10_819-850;Scenario-8;test10;819-850;10;0.15;0.0396544144;0.018602609168573155;0.01422473534899338;partial
131;Scenario-8_test11_894-927;Scenario-8;test11;894-927;10;0.15;0.0396544144;0.015084126181317483;0.011112514830016292;partial
132;Scenario-8_test12_955-988;Scenario-8;test12;955-988;10;0.15;0.0396544144;0.022892294416502566;0.01683047094661601;partial
133;Scenario-8_test13_1019-1051;Scenario-8;test13;1019-1051;10;0.15;0.0396544144;0.016474670447819605;0.011919590973134048;partial
134;Scenario-8_test14_1116-1147;Scenario-8;test14;1116-1147;10;0.15;0.0396544144;0.01886025315808886;0.01326461767446465;partial
135;Scenario-8_test15_1184-1199;Scenario-8;test15;1184-1199;10;0.15;0.0396544144;0.02145240213099384;0.015301047234637256;partial
136;Scenario-8_test1_103-136;Scenario-8;test1;103-136;10;0.15;0.0396544144;0.017405093183629587;0.01328781771979066;partial
137;Scenario-8_test2_211-240;Scenario-8;test2;211-240;10;0.15;0.0396544144;0.020025205998331866;0.012918997698007658;partial
138;Scenario-8_test3_274-307;Scenario-8;test3;274-307;10;0.15;0.0396544144;0.014397230006797938;0.010575202300695495;partial
139;Scenario-8_test4_355-385;Scenario-8;test4;355-385;10;0.15;0.0396544144;0.01603937010916787;0.012140535196507422;partial
140;Scenario-8_test5_453-480;Scenario-8;test5;453-480;10;0.15;0.0396544144;0.01297834323828605;0.009251905533368559;partial
141;Scenario-8_test6_522-552;Scenario-8;test6;522-552;10;0.15;0.0396544144;0.01771148128894009;0.01318900292102567;partial
142;Scenario-8_test7_589-617;Scenario-8;test7;589-617;10;0.15;0.0396544144;0.025728826589932707;0.01793401570905937;partial
143;Scenario-8_test8_681-696;Scenario-8;test8;681-696;10;0.15;0.0396544144;0.011352356544914097;0.005532545328707837;partial
144;Scenario-8_test9_755-784;Scenario-8;test9;755-784;10;0.15;0.0396544144;0.014489336486330353;0.010812210743939656;partial
