,SCNFolder,space,time,x-1,x,x+1,t+1
78,Scenario-4_test10_833-866,"(20.0, 40.0]","(851.0, 853.0]",0.044499822000712,0.05,0.06267627702914447,0.05
79,Scenario-4_test10_833-866,"(20.0, 40.0]","(853.0, 855.0]",0.05156537753222836,0.05,0.057553956834532384,0.05
80,Scenario-4_test11_928-960,"(20.0, 40.0]","(932.0, 934.0]",0.10222858311183805,0.1125,0.0888724310312905,0.10047053701502033
81,Scenario-4_test13_1051-1080,"(20.0, 40.0]","(1055.0, 1057.0]",0.1108976770897281,0.09375,0.04658204262256901,0.0934857434241278
82,Scenario-4_test14_1121-1150,"(40.0, 60.0]","(1121.0, 1123.0]",0.04732794320646816,0.05625,0.05648121999435187,0.05961378781749664
83,Scenario-4_test14_1121-1150,"(20.0, 40.0]","(1123.0, 1125.0]",0.0,0.06875,0.05961378781749664,0.024917460910733196
84,Scenario-4_test3_266-278,"(40.0, 60.0]","(268.0, 270.0]",0.10172939979654122,0.1375,0.06104074469708529,0.09681211534472027
85,Scenario-4_test6_522-552,"(40.0, 60.0]","(522.0, 524.0]",0.060015003750937726,0.0625,0.0453771979580261,0.05684240443370754
86,Scenario-4_test7_581-610,"(40.0, 60.0]","(581.0, 583.0]",0.06393569895419465,0.03125,0.06426477085592643,0.060537268255769945
87,Scenario-4_test8_686-698,"(40.0, 60.0]","(688.0, 690.0]",0.11005135730007336,0.125,0.07008059268158381,0.10377032168799723
88,Scenario-4_test9_775-800,"(40.0, 60.0]","(775.0, 777.0]",0.0,0.0,0.0,0.0
89,Scenario-4_test9_775-800,"(20.0, 40.0]","(777.0, 779.0]",0.0,0.0,0.0,0.0
90,Scenario-5_test0_5-14,"(40.0, 60.0]","(5.0, 7.0]",0.0,0.0,0.0,0.0
91,Scenario-5_test0_5-14,"(20.0, 40.0]","(7.0, 9.0]",0.052818063777812015,0.025,0.0,0.05907671533462739
92,Scenario-5_test1_68-78,"(40.0, 60.0]","(68.0, 70.0]",0.053460450404294646,0.05625,0.050477432381272884,0.04918335143553907
93,Scenario-5_test1_68-78,"(20.0, 40.0]","(70.0, 72.0]",0.06424081126967375,0.0625,0.04918335143553907,0.06158583525789068
94,Scenario-5_test10_613-623,"(40.0, 60.0]","(613.0, 615.0]",0.06061524473405061,0.05,0.060026261489401614,0.048964745383324015
95,Scenario-5_test12_731-740,"(40.0, 60.0]","(731.0, 733.0]",0.03338062254861053,0.05,0.052962595167163194,0.025586899507452184
96,Scenario-5_test12_731-740,"(20.0, 40.0]","(733.0, 735.0]",0.06194827319188478,0.0625,0.025586899507452184,0.06742377952424096
