,SCNFolder,space,time,x-1,x,x+1,t+1
49,Scenario-1_test10_621-637,"(40.0, 60.0]","(625.0, 627.0]",0.05,0.05,0.0875,0.05
50,Scenario-1_test10_621-637,"(60.0, 80.0]","(625.0, 627.0]",0.05,0.0875,0.0625,0.09375
51,Scenario-1_test10_621-637,"(20.0, 40.0]","(627.0, 629.0]",0.04375,0.05,0.05,0.04375
52,Scenario-1_test10_621-637,"(40.0, 60.0]","(627.0, 629.0]",0.05,0.05,0.09375,0.08125
53,Scenario-1_test10_621-637,"(60.0, 80.0]","(627.0, 629.0]",0.05,0.09375,0.05625,0.05625
54,Scenario-1_test10_621-637,"(20.0, 40.0]","(629.0, 631.0]",0.01875,0.04375,0.08125,0.03125
55,Scenario-1_test10_621-637,"(40.0, 60.0]","(629.0, 631.0]",0.04375,0.08125,0.05625,0.06875
56,Scenario-1_test10_621-637,"(60.0, 80.0]","(629.0, 631.0]",0.08125,0.05625,0.05625,0.06875
57,Scenario-1_test10_621-637,"(20.0, 40.0]","(631.0, 633.0]",0.0,0.03125,0.06875,0.0
58,Scenario-1_test10_621-637,"(40.0, 60.0]","(631.0, 633.0]",0.03125,0.06875,0.06875,0.05625
59,Scenario-1_test10_621-637,"(60.0, 80.0]","(631.0, 633.0]",0.06875,0.06875,0.05,0.06875
60,Scenario-1_test10_621-637,"(20.0, 40.0]","(633.0, 635.0]",0.05,0.0,0.05625,0.0375
61,Scenario-1_test10_621-637,"(40.0, 60.0]","(633.0, 635.0]",0.0,0.05625,0.06875,0.0125
62,Scenario-1_test10_621-637,"(60.0, 80.0]","(633.0, 635.0]",0.05625,0.06875,0.05625,0.0625
63,Scenario-1_test11_686-698,"(20.0, 40.0]","(686.0, 688.0]",0.06875,0.09375,0.1,0.1
64,Scenario-1_test11_686-698,"(40.0, 60.0]","(686.0, 688.0]",0.09375,0.1,0.1,0.13125
65,Scenario-1_test11_686-698,"(60.0, 80.0]","(686.0, 688.0]",0.1,0.1,0.05625,0.06875
66,Scenario-1_test11_686-698,"(20.0, 40.0]","(688.0, 690.0]",0.06875,0.1,0.13125,0.1
67,Scenario-1_test11_686-698,"(40.0, 60.0]","(688.0, 690.0]",0.1,0.13125,0.06875,0.09375
68,Scenario-1_test11_686-698,"(60.0, 80.0]","(688.0, 690.0]",0.13125,0.06875,0.0625,0.05625
69,Scenario-1_test11_686-698,"(20.0, 40.0]","(690.0, 692.0]",0.1,0.1,0.09375,0.1125
70,Scenario-1_test11_686-698,"(40.0, 60.0]","(690.0, 692.0]",0.1,0.09375,0.05625,0.08125
71,Scenario-1_test11_686-698,"(60.0, 80.0]","(690.0, 692.0]",0.09375,0.05625,0.05,0.05625
72,Scenario-1_test11_686-698,"(20.0, 40.0]","(692.0, 694.0]",0.10625,0.1125,0.08125,0.09375
73,Scenario-1_test11_686-698,"(40.0, 60.0]","(692.0, 694.0]",0.1125,0.08125,0.05625,0.05
74,Scenario-1_test11_686-698,"(60.0, 80.0]","(692.0, 694.0]",0.08125,0.05625,0.05,0.05625
75,Scenario-1_test11_686-698,"(20.0, 40.0]","(694.0, 696.0]",0.1125,0.09375,0.05,0.0875
76,Scenario-1_test11_686-698,"(40.0, 60.0]","(694.0, 696.0]",0.09375,0.05,0.05625,0.05625
77,Scenario-1_test11_686-698,"(60.0, 80.0]","(694.0, 696.0]",0.05,0.05625,0.05,0.05
78,Scenario-1_test12_741-757,"(20.0, 40.0]","(741.0, 743.0]",0.025,0.0375,0.06875,0.0375
79,Scenario-1_test12_741-757,"(40.0, 60.0]","(741.0, 743.0]",0.0375,0.06875,0.01875,0.0375
80,Scenario-1_test12_741-757,"(60.0, 80.0]","(741.0, 743.0]",0.06875,0.01875,0.1,0.075
81,Scenario-1_test12_741-757,"(20.0, 40.0]","(743.0, 745.0]",0.0,0.0375,0.0375,0.0
82,Scenario-1_test12_741-757,"(40.0, 60.0]","(743.0, 745.0]",0.0375,0.0375,0.075,0.05
83,Scenario-1_test12_741-757,"(60.0, 80.0]","(743.0, 745.0]",0.0375,0.075,0.05,0.05
84,Scenario-1_test12_741-757,"(20.0, 40.0]","(745.0, 747.0]",0.05,0.0,0.05,0.05
85,Scenario-1_test12_741-757,"(40.0, 60.0]","(745.0, 747.0]",0.0,0.05,0.05,0.0
86,Scenario-1_test12_741-757,"(60.0, 80.0]","(745.0, 747.0]",0.05,0.05,0.0625,0.05
87,Scenario-1_test12_741-757,"(20.0, 40.0]","(747.0, 749.0]",0.0,0.05,0.0,0.0
88,Scenario-1_test12_741-757,"(40.0, 60.0]","(747.0, 749.0]",0.05,0.0,0.05,0.05
89,Scenario-1_test12_741-757,"(60.0, 80.0]","(747.0, 749.0]",0.0,0.05,0.08125,0.03125
90,Scenario-1_test12_741-757,"(20.0, 40.0]","(749.0, 751.0]",0.0375,0.0,0.05,0.03125
91,Scenario-1_test12_741-757,"(40.0, 60.0]","(749.0, 751.0]",0.0,0.05,0.03125,0.00625
92,Scenario-1_test12_741-757,"(60.0, 80.0]","(749.0, 751.0]",0.05,0.03125,0.05625,0.04375
93,Scenario-1_test12_741-757,"(20.0, 40.0]","(751.0, 753.0]",0.0625,0.03125,0.00625,0.0625
94,Scenario-1_test12_741-757,"(40.0, 60.0]","(751.0, 753.0]",0.03125,0.00625,0.04375,0.025
95,Scenario-1_test12_741-757,"(60.0, 80.0]","(751.0, 753.0]",0.00625,0.04375,0.05,0.0125
96,Scenario-1_test12_741-757,"(20.0, 40.0]","(753.0, 755.0]",0.05625,0.0625,0.025,0.0625
97,Scenario-1_test12_741-757,"(40.0, 60.0]","(753.0, 755.0]",0.0625,0.025,0.0125,0.05625
98,Scenario-1_test12_741-757,"(60.0, 80.0]","(753.0, 755.0]",0.025,0.0125,0.04375,0.01875
99,Scenario-1_test13_801-817,"(20.0, 40.0]","(801.0, 803.0]",0.04375,0.0625,0.0875,0.0625
100,Scenario-1_test13_801-817,"(40.0, 60.0]","(801.0, 803.0]",0.0625,0.0875,0.13125,0.13125
101,Scenario-1_test13_801-817,"(60.0, 80.0]","(801.0, 803.0]",0.0875,0.13125,0.09375,0.1
102,Scenario-1_test13_801-817,"(20.0, 40.0]","(803.0, 805.0]",0.025,0.0625,0.13125,0.05
103,Scenario-1_test13_801-817,"(40.0, 60.0]","(803.0, 805.0]",0.0625,0.13125,0.1,0.10625
104,Scenario-1_test13_801-817,"(60.0, 80.0]","(803.0, 805.0]",0.13125,0.1,0.0875,0.11875
105,Scenario-1_test13_801-817,"(20.0, 40.0]","(805.0, 807.0]",0.0625,0.05,0.10625,0.09375
106,Scenario-1_test13_801-817,"(40.0, 60.0]","(805.0, 807.0]",0.05,0.10625,0.11875,0.1
107,Scenario-1_test13_801-817,"(60.0, 80.0]","(805.0, 807.0]",0.10625,0.11875,0.06875,0.0875
108,Scenario-1_test13_801-817,"(20.0, 40.0]","(807.0, 809.0]",0.05,0.09375,0.1,0.08125
109,Scenario-1_test13_801-817,"(40.0, 60.0]","(807.0, 809.0]",0.09375,0.1,0.0875,0.11875
110,Scenario-1_test13_801-817,"(60.0, 80.0]","(807.0, 809.0]",0.1,0.0875,0.0625,0.075
111,Scenario-1_test13_801-817,"(20.0, 40.0]","(809.0, 811.0]",0.06875,0.08125,0.11875,0.1
112,Scenario-1_test13_801-817,"(40.0, 60.0]","(809.0, 811.0]",0.08125,0.11875,0.075,0.0875
113,Scenario-1_test13_801-817,"(60.0, 80.0]","(809.0, 811.0]",0.11875,0.075,0.05,0.0625
114,Scenario-1_test13_801-817,"(20.0, 40.0]","(811.0, 813.0]",0.075,0.1,0.0875,0.1
115,Scenario-1_test13_801-817,"(40.0, 60.0]","(811.0, 813.0]",0.1,0.0875,0.0625,0.0875
116,Scenario-1_test13_801-817,"(60.0, 80.0]","(811.0, 813.0]",0.0875,0.0625,0.05,0.05625
117,Scenario-1_test13_801-817,"(20.0, 40.0]","(813.0, 815.0]",0.0625,0.1,0.0875,0.09375
118,Scenario-1_test13_801-817,"(40.0, 60.0]","(813.0, 815.0]",0.1,0.0875,0.05625,0.05
119,Scenario-1_test13_801-817,"(60.0, 80.0]","(813.0, 815.0]",0.0875,0.05625,0.04375,0.05625
120,Scenario-1_test14_861-877,"(20.0, 40.0]","(861.0, 863.0]",0.05,0.06875,0.08125,0.0875
121,Scenario-1_test14_861-877,"(40.0, 60.0]","(861.0, 863.0]",0.06875,0.08125,0.14375,0.1
122,Scenario-1_test14_861-877,"(60.0, 80.0]","(861.0, 863.0]",0.08125,0.14375,0.08125,0.1
123,Scenario-1_test14_861-877,"(20.0, 40.0]","(863.0, 865.0]",0.05625,0.0875,0.1,0.075
124,Scenario-1_test14_861-877,"(40.0, 60.0]","(863.0, 865.0]",0.0875,0.1,0.1,0.11875
125,Scenario-1_test14_861-877,"(60.0, 80.0]","(863.0, 865.0]",0.1,0.1,0.08125,0.11875
126,Scenario-1_test14_861-877,"(20.0, 40.0]","(865.0, 867.0]",0.06875,0.075,0.11875,0.1
127,Scenario-1_test14_861-877,"(40.0, 60.0]","(865.0, 867.0]",0.075,0.11875,0.11875,0.1
128,Scenario-1_test14_861-877,"(60.0, 80.0]","(865.0, 867.0]",0.11875,0.11875,0.0625,0.1
129,Scenario-1_test14_861-877,"(20.0, 40.0]","(867.0, 869.0]",0.06875,0.1,0.1,0.1
130,Scenario-1_test14_861-877,"(40.0, 60.0]","(867.0, 869.0]",0.1,0.1,0.1,0.125
131,Scenario-1_test14_861-877,"(60.0, 80.0]","(867.0, 869.0]",0.1,0.1,0.0625,0.075
132,Scenario-1_test14_861-877,"(20.0, 40.0]","(869.0, 871.0]",0.05625,0.1,0.125,0.1
133,Scenario-1_test14_861-877,"(40.0, 60.0]","(869.0, 871.0]",0.1,0.125,0.075,0.1
134,Scenario-1_test14_861-877,"(60.0, 80.0]","(869.0, 871.0]",0.125,0.075,0.06875,0.06875
135,Scenario-1_test14_861-877,"(20.0, 40.0]","(871.0, 873.0]",0.1,0.1,0.1,0.125
136,Scenario-1_test14_861-877,"(40.0, 60.0]","(871.0, 873.0]",0.1,0.1,0.06875,0.075
137,Scenario-1_test14_861-877,"(60.0, 80.0]","(871.0, 873.0]",0.1,0.06875,0.05625,0.08125
138,Scenario-1_test14_861-877,"(20.0, 40.0]","(873.0, 875.0]",0.05,0.125,0.075,0.1
139,Scenario-1_test14_861-877,"(40.0, 60.0]","(873.0, 875.0]",0.125,0.075,0.08125,0.05625
140,Scenario-1_test14_861-877,"(60.0, 80.0]","(873.0, 875.0]",0.075,0.08125,0.0625,0.075
141,Scenario-1_test15_921-938,"(20.0, 40.0]","(921.0, 923.0]",0.0625,0.05,0.1,0.0625
142,Scenario-1_test15_921-938,"(40.0, 60.0]","(921.0, 923.0]",0.05,0.1,0.1375,0.1375
