;Unnamed: 0;SimulationFolder;Car Flow;Car Density;Car Speed;Probe Time;Probe Distance;Probe Speed;Num_visible_cells;Num_total_cells;SCN
35;35;Scenario-2_test5_321-337;0.3068828125;0.08640625;3.5516274864376127;16.0;93.13;5.820625;15;40;Scenario-2
36;36;Scenario-2_test6_381-396;0.30751875;0.0796875;3.859058823529411;16.0;101.99;6.374375;13;40;Scenario-2
37;37;Scenario-2_test7_441-456;0.3192703124999999;0.07421875;4.301747368421052;16.0;102.96;6.435;14;40;Scenario-2
38;38;Scenario-2_test8_501-516;0.3160015625;0.0740625;4.26668776371308;16.0;103.08;6.442500000000001;14;40;Scenario-2
39;39;Scenario-2_test9_565-578;0.3258017857142857;0.0816071428571428;3.992319474835887;14.0;104.98;7.498571428571428;10;35;Scenario-2
40;40;Scenario-3_test0_21-36;0.1546390625;0.0175;8.836517857142857;16.0;102.92;6.4325;14;40;Scenario-3
41;41;Scenario-3_test1_97-127;0.0801525;0.0095;8.437105263157894;30.0;95.58;3.186;7;75;Scenario-3
42;42;Scenario-3_test10_763-792;0.1772591666666666;0.02275;7.79161172161172;30.0;102.73;3.4243333333333337;15;75;Scenario-3
43;43;Scenario-3_test11_829-862;0.2207022058823529;0.0405147058823529;5.447459165154265;34.0;102.99;3.029117647058824;29;85;Scenario-3
44;44;Scenario-3_test12_921-936;0.3124734375;0.08484375;3.682928176795581;16.0;99.9;6.24375;14;40;Scenario-3
45;45;Scenario-3_test13_958-986;0.2643169642857143;0.0523214285714285;5.051791808873721;28.0;91.96;3.2842857142857147;26;70;Scenario-3
46;46;Scenario-3_test14_1055-1085;0.2150391666666666;0.034;6.324681372549019;30.0;94.36;3.1453333333333333;8;75;Scenario-3
47;47;Scenario-3_test15_1118-1147;0.1163075;0.0139166666666666;8.3574251497006;30.0;97.27;3.2423333333333333;9;75;Scenario-3
49;49;Scenario-3_test2_174-204;0.2270474999999999;0.0421666666666666;5.384525691699604;30.0;87.4;2.9133333333333336;34;75;Scenario-3
50;50;Scenario-3_test3_237-265;0.2533830357142857;0.0483928571428571;5.235959409594097;28.0;88.06;3.145;27;70;Scenario-3
51;51;Scenario-3_test4_297-326;0.2372508333333333;0.0476666666666666;4.977290209790211;30.0;103.14;3.438;26;75;Scenario-3
52;52;Scenario-3_test5_385-398;0.2701285714285714;0.0307142857142857;8.794883720930232;14.0;105.36;7.525714285714286;11;35;Scenario-3
53;53;Scenario-3_test6_451-480;0.2327875;0.0375;6.207666666666667;30.0;97.27;3.2423333333333333;8;75;Scenario-3
54;54;Scenario-3_test7_525-554;0.1938475;0.0254166666666666;7.626786885245901;30.0;96.84;3.228;18;75;Scenario-3
55;55;Scenario-3_test8_625-638;0.3357767857142856;0.07875;4.263832199546485;14.0;103.44;7.388571428571429;12;35;Scenario-3
56;56;Scenario-3_test9_685-699;0.3208857142857143;0.0825;3.8895238095238094;14.0;98.46;7.032857142857144;13;35;Scenario-3
57;57;Scenario-4_test0_21-36;0.3969984374999999;0.05921875;6.703931398416886;16.0;99.99;6.249375;14;40;Scenario-4
58;58;Scenario-4_test1_88-120;0.24783359375;0.046484375;5.331546218487395;32.0;97.05;3.0328125;10;80;Scenario-4
59;59;Scenario-4_test10_833-866;0.2286117647058823;0.0443382352941176;5.156086235489221;34.0;103.06;3.031176470588236;37;85;Scenario-4
60;60;Scenario-4_test11_928-960;0.243175;0.049375;4.9250632911392405;32.0;97.11;3.0346875;10;80;Scenario-4
61;61;Scenario-4_test12_991-1024;0.2208669117647058;0.0385294117647058;5.7324236641221376;34.0;96.32;2.832941176470588;7;85;Scenario-4
62;62;Scenario-4_test13_1051-1080;0.2306083333333332;0.0388333333333333;5.93841201716738;30.0;99.07;3.302333333333333;10;75;Scenario-4
63;63;Scenario-4_test14_1121-1150;0.20205;0.0245;8.246938775510205;30.0;96.1;3.2033333333333336;9;75;Scenario-4
64;64;Scenario-4_test2_163-194;0.1947023437499999;0.025703125;7.575045592705166;32.0;101.2;3.1625;16;80;Scenario-4
65;65;Scenario-4_test3_266-278;0.31608125;0.0814583333333333;3.880281329923273;12.0;87.94;7.328333333333333;10;30;Scenario-4
66;66;Scenario-4_test4_335-364;0.2169583333333333;0.03625;5.985057471264367;30.0;101.28;3.376;9;75;Scenario-4
67;67;Scenario-4_test5_455-487;0.2010695312499999;0.03109375;6.466557788944723;32.0;95.74;2.9918750000000003;7;80;Scenario-4
68;68;Scenario-4_test6_522-552;0.2090041666666666;0.0265;7.88694968553459;30.0;96.21;3.207;16;75;Scenario-4
69;69;Scenario-4_test7_581-610;0.1958808333333333;0.02375;8.247614035087718;30.0;98.14;3.271333333333333;8;75;Scenario-4
70;70;Scenario-4_test8_686-698;0.3299270833333333;0.0785416666666666;4.200663129973475;12.0;87.53999999999999;7.294999999999999;10;30;Scenario-4
71;71;Scenario-4_test9_775-800;0.2361875;0.043076923076923;5.482924107142857;26.0;93.67;3.602692307692308;22;65;Scenario-4
72;72;Scenario-5_test0_5-14;0.200855;0.02375;8.457052631578948;10.0;97.86;9.786;9;25;Scenario-5
73;73;Scenario-5_test1_68-78;0.3608124999999999;0.0655;5.508587786259541;10.0;94.94;9.494;9;25;Scenario-5
74;74;Scenario-5_test10_613-623;0.30861;0.08175;3.775045871559633;10.0;93.25;9.325;8;25;Scenario-5
75;75;Scenario-5_test11_670-679;0.3632625;0.0695;5.226798561151079;10.0;97.11;9.711;7;25;Scenario-5
76;76;Scenario-5_test12_731-740;0.3292250000000001;0.0755;4.360596026490067;10.0;96.82;9.682;9;25;Scenario-5
77;77;Scenario-5_test13_792-802;0.32038;0.07875;4.06831746031746;10.0;89.08000000000001;8.908000000000001;9;25;Scenario-5
78;78;Scenario-5_test14_847-857;0.3760925;0.0525;7.163666666666667;10.0;96.12;9.612;9;25;Scenario-5
79;79;Scenario-5_test15_926-935;0.3224525;0.08475;3.804749262536873;10.0;95.71;9.571;9;25;Scenario-5
80;80;Scenario-5_test16_995-1005;0.3558949999999999;0.0575;6.189478260869565;10.0;88.39;8.839;9;25;Scenario-5
81;81;Scenario-5_test17_1037-1046;0.27989;0.08675;3.226397694524496;10.0;95.53;9.553;9;25;Scenario-5
82;82;Scenario-5_test18_1089-1098;0.3719399999999999;0.062;5.999032258064515;10.0;97.14;9.714;9;25;Scenario-5
83;83;Scenario-5_test19_1155-1165;0.2757124999999999;0.08475;3.253244837758112;10.0;94.58;9.458;8;25;Scenario-5
84;84;Scenario-5_test2_129-140;0.3645770833333333;0.06875;5.302939393939393;12.0;100.64;8.386666666666667;8;30;Scenario-5
85;85;Scenario-5_test3_192-202;0.3118975;0.0745;4.186543624161073;10.0;93.5;9.35;8;25;Scenario-5
86;86;Scenario-5_test4_258-268;0.282825;0.089;3.1778089887640446;10.0;93.03;9.303;7;25;Scenario-5
87;87;Scenario-5_test5_324-334;0.2934274999999999;0.084;3.493184523809523;10.0;95.03;9.503;9;25;Scenario-5
88;88;Scenario-5_test6_370-380;0.358345;0.06725;5.328550185873606;10.0;89.32;8.931999999999999;9;25;Scenario-5
89;89;Scenario-5_test7_430-440;0.355635;0.0665;5.347894736842105;10.0;95.44;9.544;8;25;Scenario-5
90;90;Scenario-5_test8_500-509;0.2921925;0.08375;3.488865671641791;10.0;95.86;9.586;9;25;Scenario-5
91;91;Scenario-5_test9_572-583;0.3680270833333333;0.0677083333333333;5.435476923076922;12.0;104.04;8.67;9;30;Scenario-5
92;92;Scenario-6_test0_21-36;0.3759375;0.04265625;8.813186813186814;16.0;101.98;6.373749999999999;14;40;Scenario-6
93;93;Scenario-6_test1_112-144;0.4161484374999999;0.048359375;8.605331179321485;32.0;94.24;2.945;37;80;Scenario-6
94;94;Scenario-6_test10_766-799;0.4305742647058824;0.0495588235294117;8.688145400593472;34.0;101.56;2.987058823529412;29;85;Scenario-6
95;95;Scenario-6_test11_827-854;0.4069017857142857;0.048125;8.455102040816326;28.0;99.6;3.5571428571428574;16;70;Scenario-6
96;96;Scenario-6_test12_891-922;0.42177890625;0.04859375;8.679694533762058;32.0;100.77;3.1490625;29;80;Scenario-6
97;97;Scenario-6_test13_955-982;0.4359973214285714;0.0500892857142857;8.704402852049911;28.0;102.58;3.6635714285714287;23;70;Scenario-6
98;98;Scenario-6_test14_1048-1080;0.41736484375;0.04859375;8.588858520900322;32.0;97.92;3.06;9;80;Scenario-6
99;99;Scenario-6_test15_1133-1162;0.40771625;0.046;8.863396739130435;30.0;100.81;3.3603333333333336;25;75;Scenario-6
100;100;Scenario-6_test2_201-217;0.395996875;0.0475;8.336776315789473;16.0;98.42;6.15125;14;40;Scenario-6
101;101;Scenario-6_test3_280-314;0.3950323529411765;0.0436029411764705;9.059763912310288;34.0;93.35;2.745588235294118;20;85;Scenario-6
102;102;Scenario-6_test4_341-373;0.4236624999999999;0.04875;8.690512820512819;32.0;88.25;2.7578125;19;80;Scenario-6
103;103;Scenario-6_test5_408-439;0.4188984375000001;0.049765625;8.417425431711148;32.0;98.99;3.0934375;26;80;Scenario-6
104;104;Scenario-6_test6_478-508;0.45554125;0.0530833333333333;8.58162480376766;30.0;89.42;2.9806666666666666;28;75;Scenario-6
105;105;Scenario-6_test7_568-600;0.4120164062499999;0.0475;8.674029605263158;32.0;96.27;3.0084375;10;80;Scenario-6
106;106;Scenario-6_test8_646-680;0.3917580882352941;0.0430147058823529;9.10753846153846;34.0;95.69;2.8144117647058824;30;85;Scenario-6
107;107;Scenario-6_test9_709-739;0.4146483333333333;0.0484166666666666;8.564165232358002;30.0;87.91999999999999;2.9306666666666663;27;75;Scenario-6
109;109;Scenario-7_test1_67-76;0.148675;0.0165;9.010606060606062;10.0;97.72;9.772000000000002;6;25;Scenario-7
110;110;Scenario-7_test10_608-618;0.1517799999999999;0.01625;9.340307692307691;10.0;95.23;9.523;7;25;Scenario-7
111;111;Scenario-7_test11_672-682;0.159025;0.01725;9.218840579710143;10.0;93.98;9.398;8;25;Scenario-7
112;112;Scenario-7_test12_727-736;0.292815;0.03275;8.940916030534352;10.0;97.64;9.764;8;25;Scenario-7
113;113;Scenario-7_test13_785-795;0.1649675;0.0195;8.459871794871797;10.0;98.77;9.877;7;25;Scenario-7
114;114;Scenario-7_test14_851-861;0.3305475;0.038;8.698618421052632;10.0;91.95;9.195;7;25;Scenario-7
115;115;Scenario-7_test15_906-915;0.4143925000000001;0.048;8.633177083333335;10.0;98.29;9.829;9;25;Scenario-7
116;116;Scenario-7_test16_966-976;0.2868825;0.031;9.254274193548389;10.0;97.72;9.772;8;25;Scenario-7
117;117;Scenario-7_test17_1027-1037;0.4406225;0.05125;8.59751219512195;10.0;96.43;9.643;7;25;Scenario-7
118;118;Scenario-7_test18_1085-1095;0.2250225;0.02425;9.279278350515463;10.0;97.37;9.737;7;25;Scenario-7
119;119;Scenario-7_test19_1145-1154;0.1201049999999999;0.013;9.238846153846152;10.0;98.12;9.812;9;25;Scenario-7
120;120;Scenario-7_test2_129-138;0.24689;0.02675;9.229532710280374;10.0;96.12;9.611999999999998;9;25;Scenario-7
121;121;Scenario-7_test3_185-194;0.03357;0.00375;8.952;10.0;97.49;9.749;9;25;Scenario-7
122;122;Scenario-7_test4_248-258;0.3289199999999999;0.038;8.655789473684209;10.0;95.66;9.566;7;25;Scenario-7
123;123;Scenario-7_test5_305-314;0.09098;0.01025;8.87609756097561;10.0;97.31;9.730999999999998;9;25;Scenario-7
124;124;Scenario-7_test6_365-374;0.2883175;0.0335;8.606492537313432;10.0;98.38;9.838;9;25;Scenario-7
125;125;Scenario-7_test7_427-436;0.1190075;0.01325;8.981698113207548;10.0;97.61;9.761;9;25;Scenario-7
126;126;Scenario-7_test8_486-496;0.3694225;0.042;8.79577380952381;10.0;97.23;9.723;7;25;Scenario-7
127;127;Scenario-7_test9_552-562;0.18768625;0.021;8.937440476190478;10.0;92.77;9.277;7;25;Scenario-7
128;128;Scenario-8_test0_21-37;0.1973421875;0.1003125;1.9672741433021808;16.0;99.5;6.21875;14;40;Scenario-8
129;129;Scenario-8_test1_103-136;0.2829077205882352;0.0870588235294117;3.249615709459459;34.0;103.54;3.045294117647059;20;85;Scenario-8
130;130;Scenario-8_test10_819-850;0.28579453125;0.090234375;3.167246753246753;32.0;99.59;3.1121875;10;80;Scenario-8
131;131;Scenario-8_test11_894-927;0.2124595588235294;0.1033088235294117;2.0565480427046263;34.0;102.92;3.027058823529412;31;85;Scenario-8
132;132;Scenario-8_test12_955-988;0.1843808823529411;0.105735294117647;1.7437969401947149;34.0;102.29;3.008529411764706;31;85;Scenario-8
133;133;Scenario-8_test13_1019-1051;0.1419375;0.1209375;1.1736434108527134;32.0;91.88;2.87125;38;80;Scenario-8
134;134;Scenario-8_test14_1116-1147;0.2817796875;0.086953125;3.2405929919137466;32.0;101.79;3.1809375;7;80;Scenario-8
135;135;Scenario-8_test15_1184-1199;0.3398133333333333;0.0753333333333333;4.510796460176992;15.0;62.440000000000005;4.162666666666667;11;40;Scenario-8
136;136;Scenario-8_test2_211-240;0.2203675;0.10525;2.09375296912114;30.0;96.41;3.2136666666666667;9;75;Scenario-8
137;137;Scenario-8_test3_274-307;0.2531;0.0938970588235294;2.695505090054816;34.0;100.97;2.969705882352941;8;85;Scenario-8
138;138;Scenario-8_test4_355-385;0.2336208333333333;0.089;2.6249531835206;30.0;90.95;3.0316666666666663;34;75;Scenario-8
139;139;Scenario-8_test5_453-480;0.2159276785714285;0.104375;2.0687681779298543;28.0;98.34;3.512142857142857;7;70;Scenario-8
140;140;Scenario-8_test6_522-552;0.2924733333333333;0.0836666666666666;3.4956972111553783;30.0;95.37;3.179;16;75;Scenario-8
141;141;Scenario-8_test7_589-617;0.2832633928571428;0.0925;3.062306949806949;28.0;88.36;3.1557142857142857;25;70;Scenario-8
142;142;Scenario-8_test8_681-696;0.02961875;0.14921875;0.1984921465968586;16.0;103.73;6.483125;14;40;Scenario-8
143;143;Scenario-8_test9_755-784;0.2627558333333333;0.0979166666666666;2.6834638297872337;30.0;97.58;3.252666666666667;7;75;Scenario-8
