begin;end;id;id2;sampledSeconds;traveltime;overlapTraveltime;density;laneDensity;occupancy;waitingTime;timeLoss;speed;speedRelative;departed;arrived;entered;left;laneChangedFrom;laneChangedTo
0;2;dump;-E2;1;5,35;5,88;10;10;5;0;0,06;9,35;0,47;1;0;0;0;0;0
0;2;dump;E0;0;;;;;;;;;;1;0;0;0;0;0
2;4;dump;-E2;2;5,03;5,54;20;20;10;0;0,01;9,93;0,5;0;0;0;0;0;0
2;4;dump;E0;3;5,73;6,3;30;30;15;0;0,38;8,72;0,44;2;0;0;0;0;0
4;6;dump;-E2;3;5,1;5,61;30;30;14,15;0;0,06;9,81;0,49;1;0;0;1;0;0
4;6;dump;-link;0,41;10,18;10,69;2,03;2,03;0,41;0;0,01;9,83;0,49;0;0;1;0;0;0
4;6;dump;E0;6;7,31;8,04;60;60;30;0;1,9;6,84;0,34;1;0;0;0;0;0
6;8;dump;-E2;2,09;6,48;7,04;20,92;20,92;10,04;0;0,46;7,81;0,39;1;0;0;0;0;0
6;8;dump;-link;2;10,21;10,72;10;10;4,97;0;0,04;9,79;0,49;0;0;0;0;0;0
6;8;dump;E0;7,42;8,24;8,69;74,23;74,23;35,84;0;2,73;6,33;0,32;1;0;0;1;0;0
6;8;dump;link;1,07;10,17;10,68;5,37;5,37;2,05;0;0,02;9,83;0,49;0;0;1;0;0;0
8;10;dump;-E2;5;7,34;8,07;50;50;25;0;1,59;6,81;0,34;1;0;0;0;0;0
8;10;dump;-link;2;10,05;10,56;10;10;5;0;0,01;9,95;0,5;0;0;0;0;0;0
8;10;dump;E0;7,4;8,57;9,03;73,99;73,99;35,67;0;2,89;6,09;0,3;0;0;0;1;0;0
8;10;dump;link;3,12;11,4;11,97;15,6;15,6;7,14;0;0,38;8,77;0,44;0;0;1;0;0;0
10;12;dump;-E2;4,75;6,45;7,02;47,53;47,53;22,28;0;1,03;7,83;0,39;0;0;0;1;0;0
10;12;dump;-link;3,83;10,97;11,52;19,15;19,15;8,83;0;0,34;9,12;0,46;0;0;1;0;0;0
10;12;dump;E0;6,47;7,21;7,78;64,73;64,73;30,83;0;1,9;7,07;0,35;1;0;0;1;0;0
10;12;dump;link;5,11;12,58;13,21;25,55;25,55;12,06;0;1,05;7,95;0,4;0;0;1;0;0;0
12;14;dump;-E2;3,67;5,9;6,35;36,72;36,72;17,08;0;0,49;8,66;0,43;0;0;0;1;0;0
12;14;dump;-link;4,83;10,23;10,74;24,15;24,15;11,43;0;0,11;9,77;0,49;0;0;1;0;0;0
12;14;dump;E0;6,93;8,25;8,88;69,32;69,32;32,99;0;2,64;6,19;0,31;1;0;0;1;0;0
12;14;dump;link;6,72;11,57;12,15;33,62;33,62;15,97;0;0,91;8,64;0,43;0;0;1;0;0;0
14;16;dump;-E0;0,19;5,09;5,6;1,88;1,88;0,17;0;0;9,82;0,49;0;0;1;0;0;0
14;16;dump;-E2;2;5,38;5,92;20;20;9,77;0;0,14;9,29;0,46;0;0;0;1;0;0
14;16;dump;-link;6,21;11,07;11,59;31,06;31,06;15,01;0;0,59;9,06;0,45;0;0;1;1;0;0
14;16;dump;E0;6;6,62;7,22;60;60;29,43;0;1,43;7,61;0,38;1;0;0;1;0;0
14;16;dump;link;8,35;11,97;12,57;41,76;41,76;20,27;0;1,37;8,36;0,42;0;0;1;0;0;0
16;18;dump;-E0;2;5,1;5,6;20;20;9,49;0;0,04;9,81;0,49;0;0;0;0;0;0
16;18;dump;-E2;1,37;32,26;16,77;13,66;13,66;5,54;0;0,92;3,28;0,16;1;0;0;0;0;0
16;18;dump;-link;6,31;11,43;11,93;31,55;31,55;14,95;0;0,76;8,8;0,44;0;0;0;0;0;0
16;18;dump;E0;7,24;7,56;8,18;72,39;72,39;34,65;0;2,37;6,73;0,34;1;0;0;1;0;0
16;18;dump;link;10,37;12,75;13,38;51,85;51,85;25,15;0;2,24;7,84;0,39;0;0;1;0;0;0
18;20;dump;-E0;2;5,07;5,58;20;20;10;0;0,03;9,86;0,49;0;0;0;0;0;0
18;20;dump;-E2;2;11,54;12,7;20;20;10;0;1,13;4,33;0,22;0;0;0;0;0;0
18;20;dump;-link;6;11,31;11,88;30;30;15;0;0,7;8,84;0,44;0;0;0;0;0;0
18;20;dump;E0;6,25;7,43;8,11;62,47;62,47;30,25;0;2,01;6,78;0,34;1;0;0;0;0;0
18;20;dump;link;12;15,42;16,2;60;60;29,86;0;4,22;6,48;0,32;0;0;0;0;0;0
20;22;dump;-E0;1,2;5,21;5,73;12;12;5,15;0;0,05;9,59;0,48;0;1;1;0;0;0
20;22;dump;-E2;2;6,69;7,36;20;20;10;0;0,51;7,47;0,37;1;0;0;0;0;0
20;22;dump;-link;6;10,93;11,47;30;30;14,9;0;0,51;9,15;0,46;0;0;0;1;0;0
20;22;dump;E0;6,74;7,3;7,92;67,45;67,45;32,13;0;2,06;6,94;0,35;1;0;0;1;0;0
20;22;dump;E2;1,58;6;6,6;15,82;15,82;6,15;0;0,26;8,33;0,42;0;0;1;0;0;0
20;22;dump;link;12,97;15,47;16,13;64,84;64,84;30,79;0;4,52;6,51;0,33;0;0;1;1;0;0
22;24;dump;-E0;2,28;6,08;6,69;22,8;22,8;9,73;0;0,41;8,22;0,41;0;0;1;0;0;0
22;24;dump;-E2;4;6,62;7,28;40;40;20;0;0,98;7,55;0,38;0;0;0;0;0;0
22;24;dump;-link;4,37;11,52;12,19;21,84;21,84;10,1;0;0,61;8,61;0,43;0;0;0;1;0;0
22;24;dump;E0;6,57;8,46;8,91;65,72;65,72;31,47;0;2,52;6,17;0,31;1;0;0;1;0;0
22;24;dump;E2;3,2;5,54;6,09;32,03;32,03;14,56;0;0,31;9,03;0,45;0;0;1;0;0;0
22;24;dump;link;13,33;16,31;16,81;66,64;66,64;31,93;0;5,01;6,24;0,31;0;0;1;1;0;0
24;26;dump;-E0;4;6,19;6,81;40;40;19,56;0;0,77;8,08;0,4;0;0;0;0;0;0
24;26;dump;-E2;3,63;6,3;6,76;36,35;36,35;16,82;0;0,68;8,13;0,41;1;0;0;1;0;0
24;26;dump;-link;4,21;11,42;12,05;21,05;21,05;9,27;0;0,54;8,71;0,44;0;0;1;0;0;0
24;26;dump;E0;6,69;9,18;9,61;66,86;66,86;31,98;0;2,86;5,72;0,29;0;0;0;1;0;0
24;26;dump;E2;4,71;5,26;5,79;47,06;47,06;22,28;0;0,24;9,5;0,47;0;0;1;0;0;0
24;26;dump;link;13,67;16,16;16,59;68,34;68,34;32,82;0;5,02;6,33;0,32;0;0;1;1;0;0
26;28;dump;-E0;4,59;5,83;6,44;45,94;45,94;21,19;0;0,67;8,53;0,43;0;1;1;0;0;0
26;28;dump;-E2;4;5,58;6,13;40;40;19,44;0;0,41;8,97;0,45;0;0;0;1;0;0
26;28;dump;-link;4,34;10,78;11,58;21,7;21,7;9,54;0;0,4;9,07;0,45;0;0;1;1;0;0
26;28;dump;E0;6,7;7,52;8,27;66,95;66,95;31,58;0;2,24;6,65;0,33;1;0;0;1;0;0
26;28;dump;E2;5,33;5,5;6,09;53,32;53,32;23,58;0;0,52;9,03;0,45;0;1;1;0;0;0
26;28;dump;link;12,99;16,48;17,07;64,95;64,95;30,74;0;5;6,15;0,31;0;0;1;1;0;0
28;30;dump;-E0;4;5,79;6,25;39,99;39,99;18,73;0;0,48;8,8;0,44;0;1;0;0;0;0
28;30;dump;-E2;3,19;5,47;6,01;31,94;31,94;15,18;0;0,27;9,15;0,46;1;0;0;0;0;0
28;30;dump;-link;4,03;10,44;10,98;20,17;20,17;9,9;0;0,18;9,56;0,48;0;0;0;0;0;0
28;30;dump;E0;7;9,29;10,12;69,95;69,95;32,83;0;3,19;5,44;0,27;1;0;0;1;0;0
28;30;dump;E2;4,74;5,4;5,92;47,43;47,43;21,87;0;0,34;9,28;0,46;0;1;1;0;0;0
28;30;dump;link;12,85;15,33;16,05;64,24;64,24;31,01;0;4,44;6,54;0,33;0;0;1;1;0;0
30;32;dump;-E0;2;5,26;5,78;20;20;10;0;0,1;9,51;0,48;0;0;0;0;0;0
30;32;dump;-E2;2,82;5,25;5,83;28,22;28,22;12,72;0;0,16;9,43;0,47;1;0;0;1;0;0
30;32;dump;-link;5,72;11,05;11,6;28,61;28,61;13,61;0;0,54;9,05;0,45;0;0;1;0;0;0
30;32;dump;E0;6;8,38;9,22;60;60;30;0;2,42;5,96;0,3;1;0;0;0;0;0
30;32;dump;E2;5,23;5,62;6,2;52,27;52,27;23,52;0;0,59;8,87;0,44;0;1;1;0;0;0
30;32;dump;link;12,48;14,98;15,5;62,38;62,38;30,34;0;4,02;6,77;0,34;0;0;0;1;0;0
32;34;dump;-E0;1,67;5,5;6,01;16,73;16,73;7,02;0;0,14;9,16;0,46;0;1;0;0;0;0
32;34;dump;-E2;4;6,05;6,66;40;40;20;0;0,69;8,26;0,41;1;0;0;0;0;0
32;34;dump;-link;6;10,76;11,3;30;30;15;0;0,42;9,29;0,46;0;0;0;0;0;0
32;34;dump;E0;7,04;9,21;9,98;70,39;70,39;33,17;0;3,16;5,51;0,28;0;0;0;1;0;0
32;34;dump;E2;5,56;6,1;6,63;55,62;55,62;25,97;0;0,95;8,29;0,41;0;1;0;0;0;0
32;34;dump;link;12,08;14,21;14,8;60,38;60,38;28,6;0;3,51;7,09;0,35;0;0;1;0;0;0
34;36;dump;-E0;1,4;5,21;5,73;14;14;5,69;0;0,06;9,6;0,48;0;0;1;0;0;0
34;36;dump;-E2;4,62;7,92;8,24;46,19;46,19;21,77;0;1,54;6,68;0,33;0;0;0;1;0;0
34;36;dump;-link;7,01;11,04;11,55;35,06;35,06;16,22;0;0,64;9,09;0,45;0;0;1;1;0;0
34;36;dump;E0;6,16;8,98;9,61;61,59;61,59;28,95;0;2,64;5,72;0,29;1;0;0;1;0;0
34;36;dump;E2;5,84;6,19;6,8;58,37;58,37;27,59;0;1,11;8,09;0,4;0;1;1;0;0;0
34;36;dump;link;12,31;13,54;14,13;61,57;61,57;29,13;0;3,17;7,43;0,37;0;0;1;1;0;0
36;38;dump;-E0;2;5,42;5,96;20;20;10;0;0,16;9,22;0,46;0;0;0;0;0;0
36;38;dump;-E2;5;7,88;8,39;50;50;23,74;0;1,72;6,56;0,33;1;0;0;1;0;0
36;38;dump;-link;6,54;11,47;12,05;32,71;32,71;15,61;0;0,84;8,72;0,44;0;0;1;0;0;0
36;38;dump;E0;5,67;7,6;8,35;56,68;56,68;26,46;0;1,93;6,59;0,33;1;0;0;1;0;0
36;38;dump;E2;5,84;5,6;6,15;58,42;58,42;27,21;0;0,62;8,94;0,45;0;1;1;0;0;0
36;38;dump;link;11,8;13,77;14,33;59;59;27,83;0;3,15;7,33;0,37;0;0;1;1;0;0
38;40;dump;-E0;3,54;5,41;5,94;35,43;35,43;16,32;0;0,26;9,25;0,46;0;1;1;0;0;0
38;40;dump;-E2;4,05;7,72;8,46;40,55;40,55;20,01;0;1,42;6,5;0,32;0;0;0;0;0;0
38;40;dump;-link;6,99;11,44;11,97;34,95;34,95;16,79;0;0,86;8,77;0,44;0;0;0;1;0;0
38;40;dump;E0;6;6,86;7,48;60;60;29,57;0;1,59;7,35;0,37;1;0;0;1;0;0
38;40;dump;E2;5,72;5,76;6,33;57,15;57,15;27,32;0;0,75;8,68;0,43;0;0;1;0;0;0
38;40;dump;link;11,08;13,23;13,7;55,41;55,41;26,51;0;2,59;7,67;0,38;0;0;1;1;0;0
40;42;dump;-E0;2,19;5,24;5,76;21,91;21,91;10,17;0;0,1;9,55;0,48;0;0;1;0;0;0
40;42;dump;-E2;2,77;7,86;7,84;27,67;27,67;12,58;0;0,83;7,02;0,35;0;0;0;1;0;0
40;42;dump;-link;7,72;11,09;11,63;38,62;38,62;18,59;0;0,75;9,03;0,45;0;0;1;1;0;0
40;42;dump;E0;6,28;7,99;8,67;62,8;62,8;30,32;0;2,29;6,35;0,32;1;0;0;0;0;0
