Generations;0;1;2;3;4
0;-0.018238747520750002;-0.019306429197515112;-0.020743108136563108;-0.018841709340883674;-0.020024118026889245
1;-0.015618194825484088;-0.017150160692661363;-0.018087181021168717;-0.01720447919498193;-0.018822798866563944
2;-0.015618194825484088;-0.015033830070705984;-0.016424726293419255;-0.016372182550486104;-0.015486306683262476
3;-0.01491051221483557;-0.015033830070705984;-0.015570695170337965;-0.015859688138688283;-0.015486306683262476
4;-0.01491051221483557;-0.014342466466633496;-0.015305400074805985;-0.015590979313750817;-0.015486306683262476
5;-0.014573154498106564;-0.014342466466633496;-0.014677476750045071;-0.01531233864619483;-0.015486306683262476
6;-0.014408928098641706;-0.014342466466633496;-0.014426915290313466;-0.015191436257273509;-0.015191602786778639
7;-0.013983155109698437;-0.014342466466633496;-0.014209334291978135;-0.014846247258608902;-0.014371615125754677
8;-0.013983155109698437;-0.014196872797150935;-0.014009742928760805;-0.014626620358125232;-0.014371615125754677
9;-0.013983155109698437;-0.014196872797150935;-0.01393076445997684;-0.014626620358125232;-0.014371615125754677
10;-0.013954646189521455;-0.01407369423087189;-0.01393076445997684;-0.014399370947221575;-0.0143514468436452
11;-0.013928677905566202;-0.01407369423087189;-0.013906351550957027;-0.014106844527553201;-0.014334329381826778
12;-0.01389849737797327;-0.014070690398830318;-0.013839257139458026;-0.014106844527553201;-0.014169039195998155
13;-0.01389409189438153;-0.013991642032633403;-0.013836793118272994;-0.01407841309009265;-0.014154314726539588
14;-0.013813707310984335;-0.013991642032633403;-0.01381988006642855;-0.01394176805341959;-0.014021782764052146
15;-0.013813707310984335;-0.013944351832632318;-0.013815475758148493;-0.01394176805341959;-0.013975389333926967
16;-0.013813707310984335;-0.013944351832632318;-0.01380010550816221;-0.01394176805341959;-0.01390054628460391
17;-0.013813707310984335;-0.013920382176976921;-0.01380010550816221;-0.013927455416039364;-0.01390054628460391
18;-0.013813707310984335;-0.013920382176976921;-0.013794956261352638;-0.013924364928184123;-0.013881307217136906
19;-0.013813707310984335;-0.013920382176976921;-0.013794956261352638;-0.013883848715400604;-0.013866188458928059
20;-0.013812981463893731;-0.013897087330054965;-0.013794956261352638;-0.013883848715400604;-0.013845542982788686
21;-0.013805035528970536;-0.0138533235700638;-0.013783211497113555;-0.013883848715400604;-0.013835669756831585
22;-0.013805035528970536;-0.0138533235700638;-0.013778620911703388;-0.013865637136216007;-0.013824583108488213
23;-0.013805035528970536;-0.0138533235700638;-0.013774536958191185;-0.013864832068951668;-0.013814929151264178
24;-0.013795898963028625;-0.013835178444222617;-0.013771430967346189;-0.013857618171144599;-0.013814324731479226
25;-0.013795405603136322;-0.013825746970756272;-0.01375756511092661;-0.013829794997651659;-0.01381428513560759
26;-0.013789807188715225;-0.013824483803564611;-0.013754888001598716;-0.013826469529091365;-0.013809542819607269
27;-0.013781742771356943;-0.013821243809629973;-0.013753821850208958;-0.013820286862388674;-0.013809542819607269
28;-0.013781344480359;-0.013808029695500393;-0.013753821850208958;-0.013799813824391572;-0.013803446567531968
29;-0.013775273227951596;-0.013783157624664765;-0.013753776251471516;-0.013782867358378926;-0.013798902421589182
30;-0.013775273227951596;-0.013783157624664765;-0.013753568935736298;-0.013782867358378926;-0.013796762992121986
31;-0.01377461618381185;-0.013779337502975565;-0.013753562397500608;-0.013782867358378926;-0.013786699618426188
32;-0.013765922777452536;-0.013769158205203308;-0.013753562397500608;-0.013771236924545082;-0.013786067015256793
33;-0.013765922777452536;-0.013763212468886812;-0.01375212750358002;-0.013765340021073982;-0.013786062204605157
34;-0.013765922777452536;-0.013753458619969286;-0.013752031764778051;-0.013763723071155325;-0.013786062204605157
35;-0.013765498027164102;-0.013751211766522284;-0.013751837180592833;-0.013763723071155325;-0.013785372057100164
36;-0.013765498027164102;-0.013751211766522284;-0.013751837180592833;-0.013763723071155325;-0.0137829718519157
37;-0.01376324409240422;-0.013751211766522284;-0.013751837180592833;-0.013759010393023897;-0.0137829718519157
38;-0.013763201333270251;-0.013750208131150075;-0.013751837180592833;-0.01375468655382247;-0.0137826819295879
39;-0.013763167252101825;-0.013748432925819237;-0.013751837180592833;-0.01375468655382247;-0.0137826819295879
40;-0.013763167252101825;-0.013748432925819237;-0.013751837180592833;-0.013753807181005315;-0.0137826819295879
41;-0.013763167252101825;-0.013748432925819237;-0.013751837180592833;-0.01375135224753368;-0.01378262647713163
42;-0.013763167252101825;-0.013748432925819237;-0.013751837180592833;-0.01375066326089743;-0.01378262647713163
43;-0.013763167252101825;-0.013748432925819237;-0.013751800580720426;-0.013750494187846551;-0.013773775998970249
44;-0.013763167252101825;-0.013748432925819237;-0.013751799341830129;-0.013750494187846551;-0.013773775998970249
45;-0.013763020343282428;-0.01374715413954462;-0.013751799341830129;-0.013750494187846551;-0.013773775998970249
46;-0.013761479872921926;-0.01374700605248541;-0.013751799341830129;-0.013750494187846551;-0.013766956966410216
47;-0.013761417871380742;-0.013746280737272487;-0.013751777339775388;-0.013750494187846551;-0.013766956966410216
48;-0.013753072256871501;-0.013746280737272487;-0.013751777339775388;-0.013748663298696982;-0.013766956966410216
49;-0.013750281997256279;-0.013746280737272487;-0.013751777339775388;-0.013748663298696982;-0.013766956966410216
50;-0.013750281997256279;-0.013746280737272487;-0.013744709698993263;-0.013748663298696982;-0.013766956966410216
51;-0.013750281997256279;-0.013745981806427731;-0.013744709698993263;-0.013748663298696982;-0.013766956966410216
